Código,Nome,Peso (%),Preço,Cotas,Valor de mercado,Valor de face,Setor,SEDOL,Código ISIN,Bolsa,Localização,Moeda,Taxa de câmbio
"TOTS3","TOTVS S/A","4,74","35,00","43.200","1.512.000","-","Tecnologia de informação","B10LQP6","BRTOTSACNOR8","XBSP","Brasil","BRL","1,00"
"EQTL3","EQUATORIAL ENERGIA SA","4,27","27,70","49.200","1.362.840","-","Serviços públicos","B128R96","BREQTLACNOR0","XBSP","Brasil","BRL","1,00"
"TRPL4","COMPANHIA DE TRANSMISSAO DE ENERGI","3,68","41,50","28.286","1.173.869","-","Serviços públicos","2440972","BRTRPLACNPR1","XBSP","Brasil","BRL","1,00"
"SULA11","SUL AMERICA UNITS SA","3,13","12,91","77.400","999.234","-","Financeiro e Outros","B27WYK0","BRSULACDAM12","XBSP","Brasil","BRL","1,00"
"BRPR3","BR PROPERTIES SA","3,08","10,25","96.000","984.000","-","Financeiro e Outros","B1FLW42","BRBRPRACNOR9","XBSP","Brasil","BRL","1,00"
"GOAU4","METALURGICA GERDAU PREF SA","3,06","11,30","86.400","976.320","-","Materiais Básicos","2648862","BRGOAUACNPR8","XBSP","Brasil","BRL","1,00"
"CYRE3","CYRELA BRAZIL REALTY S/A EMPREENDI","2,85","11,06","82.200","909.132","-","Constru��o e Transporte","2189855","BRCYREACNOR7","XBSP","Brasil","BRL","1,00"
"ODPV3","ODONTOPREV SA","2,63","9,86","85.200","840.072","-","Consumo Não Cíclico","B1H6R62","BRODPVACNOR4","XBSP","Brasil","BRL","1,00"
"SMLE3","SMILES SA","2,60","46,05","18.000","828.900","-","Consumo Cíclico","B97PYY2","BRSMLEACNOR1","XBSP","Brasil","BRL","1,00"
"HGTX3","HERING TEXTIL","2,59","20,25","40.800","826.200","-","Consumo Cíclico","B010V16","BRHGTXACNOR9","XBSP","Brasil","BRL","1,00"
"BRSR6","BANCO DO ESTADO DO RIO GRANDE DO S","2,56","14,50","56.400","817.800","-","Financeiro e Outros","B23F8S9","BRBRSRACNPB4","XBSP","Brasil","BRL","1,00"
"VLID3","VALID SOLUCOES E SERVICOS DE SEGUR","2,31","42,40","17.400","737.760","-","Bens Industriais","B13NPP2","BRVLIDACNOR5","XBSP","Brasil","BRL","1,00"
"TIET4","AES TIETE ENERGIA PREF SA","2,28","18,12","40.200","728.424","-","Serviços públicos","2441038","BRGETIACNPR4","XBSP","Brasil","BRL","1,00"
"ALLL3","ALL AMERICA LATINA LOGISTICA S.A.","2,23","5,06","140.400","710.424","-","Constru��o e Transporte","B014710","BRALLLACNOR6","XBSP","Brasil","BRL","1,00"
"MRFG3","MARFRIG FRIGORIFICOS SA","2,13","6,10","111.600","680.760","-","Consumo Não Cíclico","B1YWHR4","BRMRFGACNOR0","XBSP","Brasil","BRL","1,00"
"MRVE3","MRV ENGENHARIA E PARTICIPACOES S/A","2,12","7,50","90.000","675.000","-","Constru��o e Transporte","B235JN1","BRMRVEACNOR2","XBSP","Brasil","BRL","1,00"
"DTEX3","DURATEX SA","2,11","8,03","84.000","674.520","-","Materiais Básicos","B27WY88","BRDTEXACNOR3","XBSP","Brasil","BRL","1,00"
"ENBR3","ENERGIAS DO BRASIL SA","2,11","8,97","75.000","672.750","-","Serviços públicos","B0D7494","BRENBRACNOR2","XBSP","Brasil","BRL","1,00"
"IGTA3","IGUATEMI EMPRESA DE SHOPPING CENTE","2,08","24,60","27.000","664.200","-","Financeiro e Outros","B1NXMK6","BRIGTAACNOR5","XBSP","Brasil","BRL","1,00"
"POMO4","MARCOPOLO PREF SA","1,81","3,33","173.400","577.422","-","Bens Industriais","2599131","BRPOMOACNPR7","XBSP","Brasil","BRL","1,00"
"SEDU3","SOMOS EDUCACAO SA","1,77","11,37","49.800","566.226","-","Consumo Cíclico","B44TJC5","BRABREACNOR9","XBSP","Brasil","BRL","1,00"
"LIGT3","LIGHT SA","1,66","17,02","31.200","531.024","-","Serviços públicos","B0W1X34","BRLIGTACNOR2","XBSP","Brasil","BRL","1,00"
"GOLL4","GOL LINHAS AEREAS INTELIGENTES PRE","1,63","15,18","34.200","519.156","-","Constru��o e Transporte","B01NTS8","BRGOLLACNPR4","XBSP","Brasil","BRL","1,00"
"LINX3","LINX SA","1,61","50,50","10.200","515.100","-","Tecnologia de informação","B9DL3B4","BRLINXACNOR0","XBSP","Brasil","BRL","1,00"
"SMTO3","SAO MARTINHO S/A","1,57","36,25","13.800","500.250","-","Consumo Não Cíclico","B1P3R43","BRSMTOACNOR3","XBSP","Brasil","BRL","1,00"
"CSMG3","COMPANHIA DE SANEAMENTO DE MINAS G","1,47","25,18","18.600","468.348","-","Serviços públicos","B0YBZJ2","BRCSMGACNOR5","XBSP","Brasil","BRL","1,00"
"MPLU3","MULTIPLUS S/A","1,44","32,00","14.400","460.800","-","Consumo Cíclico","B3PRVV4","BRMPLUACNOR3","XBSP","Brasil","BRL","1,00"
"ARTR3","ARTERIS SA","1,33","12,40","34.200","424.080","-","Constru��o e Transporte","B97Q0K3","BRARTRACNOR3","XBSP","Brasil","BRL","1,00"
"ALUP11","ALUPAR INVESTIMENTO UNITS SA","1,33","17,64","24.000","423.360","-","Serviços públicos","B8DWT90","BRALUPCDAM15","XBSP","Brasil","BRL","1,00"
"ALSC3","ALIANSCE SHOPPING CENTERS S/A","1,26","16,38","24.600","402.948","-","Financeiro e Outros","B23FNB7","BRALSCACNOR0","XBSP","Brasil","BRL","1,00"
"ALPA4","SAO PAULO ALPARGATAS PREF SA","1,21","7,25","53.400","387.150","-","Consumo Cíclico","B07C796","BRALPAACNPR7","XBSP","Brasil","BRL","1,00"
"ANIM3","GAEC EDUCACAO SA","1,20","35,35","10.800","381.780","-","Consumo Cíclico","BFMXX80","BRANIMACNOR6","XBSP","Brasil","BRL","1,00"
"GRND3","GRENDENE SA","1,18","15,30","24.600","376.380","-","Consumo Cíclico","B03L0B0","BRGRNDACNOR3","XBSP","Brasil","BRL","1,00"
"EVEN3","EVEN CONSTRUTORA E INCORPORADORA S","1,16","5,44","67.800","368.832","-","Constru��o e Transporte","B1VD2Z3","BREVENACNOR8","XBSP","Brasil","BRL","1,00"
"TUPY3","TUPY S.A.","1,14","17,85","20.400","364.140","-","Bens Industriais","2906786","BRTUPYACNOR1","XBSP","Brasil","BRL","1,00"
"PDGR3","PDG REALTY SA","1,13","0,86","418.800","360.168","-","Constru��o e Transporte","B1N9YL9","BRPDGRACNOR8","XBSP","Brasil","BRL","1,00"
"ARZZ3","AREZZO INDUSTRIA E SA","1,12","26,96","13.200","355.872","-","Consumo Cíclico","B3NS1W0","BRARZZACNOR3","XBSP","Brasil","BRL","1,00"
"SEER3","SER EDUCACIONAL SA","1,11","29,59","12.000","355.080","-","Consumo Cíclico","BFH4PZ9","BRSEERACNOR5","XBSP","Brasil","BRL","1,00"
"EZTC3","EZ TEC EMPREENDIMENTOS E PARTICIPA","1,08","22,00","15.600","343.200","-","Constru��o e Transporte","B1YW5V4","BREZTCACNOR0","XBSP","Brasil","BRL","1,00"
"FLRY3","FLEURY S/A","1,04","16,28","20.400","332.112","-","Consumo Não Cíclico","B4X4D29","BRFLRYACNOR5","XBSP","Brasil","BRL","1,00"
"BEEF3","MINERVA S/A","0,99","9,90","31.800","314.820","-","Consumo Não Cíclico","B23GH52","BRBEEFACNOR6","XBSP","Brasil","BRL","1,00"
"BPHA3","BRASIL PHARMA S.A.","0,95","2,59","116.446","301.595","-","Consumo Não Cíclico","B3Q1YB6","BRBPHAACNOR6","XBSP","Brasil","BRL","1,00"
"GFSA3","GAFISA S/A","0,89","2,20","128.400","282.480","-","Constru��o e Transporte","2479619","BRGFSAACNOR3","XBSP","Brasil","BRL","1,00"
"DASA3","DIAGNOSTICOS DA AMERICA S/A","0,88","11,14","25.200","280.728","-","Consumo Não Cíclico","B03WBK9","BRDASAACNOR1","XBSP","Brasil","BRL","1,00"
"MYPK3","IOCHPE MAXION SA","0,87","12,20","22.800","278.160","-","Bens Industriais","B06YX28","BRMYPKACNOR7","XBSP","Brasil","BRL","1,00"
"TIET3","AES TIETE ENERGIA SA","0,87","15,35","18.000","276.300","-","Serviços públicos","2440693","BRGETIACNOR7","XBSP","Brasil","BRL","1,00"
"LEVE3","MAHLE-METAL LEVE SA","0,83","20,96","12.600","264.096","-","Bens Industriais","B0HZY49","BRLEVEACNOR2","XBSP","Brasil","BRL","1,00"
"ELPL4","ELETROPAULO ELETRICIDADE METROPOLI","0,81","8,66","30.000","259.800","-","Serviços públicos","B66HFL2","BRELPLACNPR6","XBSP","Brasil","BRL","1,00"
"MILS3","MILLS ESTRUTURAS E SERVICOS DE ENG","0,77","9,55","25.800","246.390","-","Constru��o e Transporte","B5LGRJ9","BRMILSACNOR2","XBSP","Brasil","BRL","1,00"
"JSLG3","JSL S.A.","0,77","12,75","19.200","244.800","-","Constru��o e Transporte","B5LBY82","BRJSLGACNOR2","XBSP","Brasil","BRL","1,00"
"RAPT4","RANDON PREF SA","0,74","4,77","49.225","234.803","-","Bens Industriais","B010V49","BRRAPTACNPR4","XBSP","Brasil","BRL","1,00"
"SLCE3","SLC AGRICOLA S/A","0,69","14,10","15.600","219.960","-","Consumo Não Cíclico","B1Y4WK8","BRSLCEACNOR2","XBSP","Brasil","BRL","1,00"
"AMAR3","MARISA LOJAS S.A.","0,68","14,50","15.000","217.500","-","Consumo Cíclico","B3V89C8","BRAMARACNOR4","XBSP","Brasil","BRL","1,00"
"ABCB4","BANCO ABC BRASIL S/A","0,66","13,50","15.636","211.086","-","Financeiro e Outros","B23DMP8","BRABCBACNPR4","XBSP","Brasil","BRL","1,00"
"DIRR3","DIRECIONAL ENGENHARIA S/A","0,64","8,11","25.200","204.372","-","Constru��o e Transporte","B59VLC7","BRDIRRACNOR0","XBSP","Brasil","BRL","1,00"
"CVCB3","CVC BRASIL OPERADORA E AGENCIA DE","0,58","15,50","12.000","186.000","-","Consumo Cíclico","BGSH2S6","BRCVCBACNOR1","XBSP","Brasil","BRL","1,00"
"STBP11","SANTOS BRASIL SA","0,58","14,00","13.200","184.800","-","Constru��o e Transporte","B29TGT2","BRSTBPCDAM10","XBSP","Brasil","BRL","1,00"
"LPSB3","LPS BRASIL CONSULTORIA DE IMOVEIS","0,57","6,50","28.200","183.300","-","Constru��o e Transporte","B1L86W3","BRLPSBACNOR0","XBSP","Brasil","BRL","1,00"
"MEAL3","INTERNATIONAL MEAL COMPANY SA","0,52","12,00","13.800","165.600","-","Consumo Cíclico","B57Q1F7","BRIMCHACNOR4","XBSP","Brasil","BRL","1,00"
"HBOR3","HELBOR EMPREENDIMENTOS S/A","0,52","4,75","34.800","165.300","-","Constru��o e Transporte","B28RS68","BRHBORACNOR3","XBSP","Brasil","BRL","1,00"
"QGEP3","QGEP PARTICIPACOES SA","0,51","7,20","22.800","164.160","-","Oil, Gas and Biofuels","B3M5360","BRQGEPACNOR8","XBSP","Brasil","BRL","1,00"
"BBRK3","BRASIL BROKERS PARTICIPACOES","0,49","2,53","61.200","154.836","-","Constru��o e Transporte","B28XFX2","BRBBRKACNOR4","XBSP","Brasil","BRL","1,00"
"MGLU3","MAGAZINE LUIZA S.A.","0,42","7,71","17.400","134.154","-","Consumo Cíclico","B4975P9","BRMGLUACNOR2","XBSP","Brasil","BRL","1,00"
"TGMA3","TEGMA GESTAO LOGISTICA S/A","0,39","15,89","7.800","123.942","-","Constru��o e Transporte","B1ZBDK5","BRTGMAACNOR7","XBSP","Brasil","BRL","1,00"
"PRML3","PRUMO LOGISTICA SA","0,36","0,43","268.878","115.618","-","Constru��o e Transporte","BLD3273","BRPRMLACNOR9","XBSP","Brasil","BRL","1,00"
"TCSA3","TECNISA S/A","0,30","3,85","25.200","97.020","-","Constru��o e Transporte","B1N9YM0","BRTCSAACNOR3","XBSP","Brasil","BRL","1,00"
"TESA3","TERRA SANTA AGRO SA","0,28","1,02","86.096","87.818","-","Consumo Não Cíclico","B4Q9YS4","BRVAGRACNOR2","XBSP","Brasil","BRL","1,00"
"JHSF3","JHSF PARTICIPACOES S/A","0,26","2,35","34.800","81.780","-","Constru��o e Transporte","B1VN5C1","BRJHSFACNOR2","XBSP","Brasil","BRL","1,00"
"BRIN3","BRASIL INSURANCE PARTICIPACOES E A","0,25","3,40","23.400","79.560","-","Financeiro e Outros","B5L5SJ3","BRBRINACNOR3","XBSP","Brasil","BRL","1,00"
