Código,Nome,Peso (%),Preço,Cotas,Valor de mercado,Valor de face,Setor,SEDOL,Código ISIN,Bolsa,Localização,Moeda,Taxa de câmbio
"INEP10","INEPAR SA INDUSTRIA E CONSTRUCOES","0,02","5,60","3.249","18.194","-","Bens Industriais","B4S9L14","BRINEPR04PR7","XBSP","Brasil","BRL","1,00"
"FHER3","FERTILIZANTES HERINGER SA","0,16","9,27","15.600","144.612","-","Materiais Básicos","B1VQDQ0","BRFHERACNOR5","XBSP","Brasil","BRL","1,00"
"FESA4","COMPANHIA DE FERRO LIGAS DA BAHIA","0,28","13,44","19.500","262.080","-","Materiais Básicos","B07C6Z5","BRFESAACNPR5","XBSP","Brasil","BRL","1,00"
"EQTL3","EQUATORIAL ENERGIA SA","0,27","11,40","22.100","251.940","-","Serviços públicos","B128R96","BREQTLACNOR0","XBSP","Brasil","BRL","1,00"
"POSI3","POSITIVO INFORMATICA SA","0,25","9,75","23.400","228.150","-","Tecnologia de informação","B1J04K5","BRPOSIACNOR9","XBSP","Brasil","BRL","1,00"
"TOTS3","TOTVS S/A","4,29","169,00","23.400","3.954.600","-","Tecnologia de informação","B10LQP6","BRTOTSACNOR8","XBSP","Brasil","BRL","1,00"
"AMAR3","MARISA LOJAS S.A.","0,67","25,16","24.700","621.452","-","Consumo Cíclico","B3V89C8","BRAMARACNOR4","XBSP","Brasil","BRL","1,00"
"EUCA4","EUCATEX S/A","0,20","7,20","26.000","187.200","-","Materiais Básicos","2317797","BREUCAACNPR8","XBSP","Brasil","BRL","1,00"
"ATOM3","ATOM PARTICIPACOES SA","0,01","0,32","27.300","8.736","-","Telecomunica��es","2475446","BRINETACNOR3","XBSP","Brasil","BRL","1,00"
"OHLB3","OBRASCON HUARTE LAIN BRASIL S.A.","1,78","59,99","27.300","1.637.727","-","Constru��o e Transporte","B0DK255","BROHLBACNOR6","XBSP","Brasil","BRL","1,00"
"BEEF3","MINERVA S/A","0,26","6,98","33.800","235.924","-","Consumo Não Cíclico","B23GH52","BRBEEFACNOR6","XBSP","Brasil","BRL","1,00"
"LUPA3","LUPATECH S A SAINARY SHARES BRAZIL","0,71","19,28","33.800","651.664","-","Bens Industriais","B14TFV5","BRLUPAACNOR8","XBSP","Brasil","BRL","1,00"
"ENEV3","ENEVA SA","0,97","26,34","33.800","890.292","-","Serviços públicos","B29VWQ7","BRMPXEACNOR2","XBSP","Brasil","BRL","1,00"
"IGTA3","IGUATEMI EMPRESA DE SHOPPING CENTE","1,64","41,50","36.400","1.510.600","-","Financeiro e Outros","B1NXMK6","BRIGTAACNOR5","XBSP","Brasil","BRL","1,00"
"EZTC3","EZ TEC EMPREENDIMENTOS E PARTICIPA","0,59","14,03","39.000","547.170","-","Constru��o e Transporte","B1YW5V4","BREZTCACNOR0","XBSP","Brasil","BRL","1,00"
"RDTR3","REDENTOR ENERGIA S.A.","0,36","7,85","41.700","327.345","-","Serviços públicos","B51PJP6","BRRDTRACNOR7","XBSP","Brasil","BRL","1,00"
"IDNT3","IDEIASNET SA","0,17","3,82","41.707","159.321","-","Tecnologia de informação","2596897","BRIDNTACNOR5","XBSP","Brasil","BRL","1,00"
"ABCB4","BANCO ABC BRASIL S/A","0,70","14,62","44.200","646.204","-","Financeiro e Outros","B23DMP8","BRABCBACNPR4","XBSP","Brasil","BRL","1,00"
"SLCE3","SLC AGRICOLA S/A","1,12","22,00","46.800","1.029.600","-","Consumo Não Cíclico","B1Y4WK8","BRSLCEACNOR2","XBSP","Brasil","BRL","1,00"
"BTOW3","B2W COMPANHIA DIGITAL","1,60","31,50","46.800","1.474.200","-","Consumo Cíclico","B1LH3Y1","BRBTOWACNOR8","XBSP","Brasil","BRL","1,00"
"INEP4","INEPAR S/A","0,30","5,56","49.400","274.664","-","Bens Industriais","B0FNPN1","BRINEPACNPR8","XBSP","Brasil","BRL","1,00"
"CSMG3","COMPANHIA DE SANEAMENTO DE MINAS G","1,66","28,70","53.300","1.529.710","-","Serviços públicos","B0YBZJ2","BRCSMGACNOR5","XBSP","Brasil","BRL","1,00"
"ENBR3","ENERGIAS DO BRASIL SA","2,29","38,71","54.600","2.113.566","-","Serviços públicos","B0D7494","BRENBRACNOR2","XBSP","Brasil","BRL","1,00"
"TEMP3","TEMPO PARTICIPACOES SA","0,33","5,13","59.800","306.774","-","Consumo Não Cíclico","B1FLYW4","BRTEMPACNOR0","XBSP","Brasil","BRL","1,00"
"MYPK3","IOCHPE MAXION SA","1,56","24,10","59.800","1.441.180","-","Bens Industriais","B06YX28","BRMYPKACNOR7","XBSP","Brasil","BRL","1,00"
"BPAN4","BANCO PAN PREF SA","0,27","4,05","61.100","247.455","-","Financeiro e Outros","B2940Z1","BRBPNMACNPR6","XBSP","Brasil","BRL","1,00"
"MULT3","MULTIPLAN EMPREENDIMENTOS IMOBILIA","2,60","36,90","65.000","2.398.500","-","Financeiro e Outros","B23DZG0","BRMULTACNOR5","XBSP","Brasil","BRL","1,00"
