Código,Nome,Peso (%),Preço,Cotas,Valor de mercado,Valor de face,Setor,SEDOL,Código ISIN,Bolsa,Localização,Moeda,Taxa de câmbio
"ESTC3","ESTACIO PARTICIPACOES SA","4,69","16,96","93.800","1.590.848","1.590.848,00","Consumo discricionário","B23PBF7","BRESTCACNOR5","XBSP","Brasil","BRL","1,00"
"FLRY3","FLEURY S/A","4,43","27,50","54.600","1.501.500","1.501.500,00","Cuidados de saúde","B4X4D29","BRFLRYACNOR5","XBSP","Brasil","BRL","1,00"
"TOTS3","TOTVS S/A","4,35","30,54","48.300","1.475.082","1.475.082,00","Tecnologia de informação","B10LQP6","BRTOTSACNOR8","XBSP","Brasil","BRL","1,00"
"QUAL3","QUALICORP SA","4,23","18,61","77.000","1.432.970","1.432.970,00","Cuidados de saúde","B4LHBQ0","BRQUALACNOR6","XBSP","Brasil","BRL","1,00"
"RUMO3","RUMO LOGISTICA OPERADORA MULTIMODA","4,09","4,90","282.801","1.385.725","1.385.724,90","Bens Industriais","BW4NWT1","BRRUMOACNOR3","XBSP","Brasil","BRL","1,00"
"SULA11","SUL AMERICA UNITS SA","3,97","15,64","86.100","1.346.604","1.346.604,00","Produtos financeiros","B27WYK0","BRSULACDAM12","XBSP","Brasil","BRL","1,00"
"ENBR3","ENERGIAS DO BRASIL SA","3,35","13,62","83.300","1.134.546","1.134.546,00","Serviços públicos","B0D7494","BRENBRACNOR2","XBSP","Brasil","BRL","1,00"
"MRVE3","MRV ENGENHARIA E PARTICIPACOES S/A","3,10","10,81","97.300","1.051.813","1.051.813,00","Consumo discricionário","B235JN1","BRMRVEACNOR2","XBSP","Brasil","BRL","1,00"
"CPLE6","COMPANHIA PARANAENSE DE ENERGIA-CO","3,08","29,22","35.700","1.043.154","1.043.154,00","Serviços públicos","2200154","BRCPLEACNPB9","XBSP","Brasil","BRL","1,00"
"SMLE3","SMILES SA","2,87","47,99","20.300","974.197","974.197,00","Consumo discricionário","B97PYY2","BRSMLEACNOR1","XBSP","Brasil","BRL","1,00"
"TIET11","AES TIETE ENERGIA UNITS SA","2,81","14,79","64.400","952.476","952.476,00","Serviços públicos","BZ8W2L7","BRTIETCDAM15","XBSP","Brasil","BRL","1,00"
"CYRE3","CYRELA BRAZIL REALTY S/A EMPREENDI","2,66","10,29","87.500","900.375","900.375,00","Consumo discricionário","2189855","BRCYREACNOR7","XBSP","Brasil","BRL","1,00"
"SMTO3","SAO MARTINHO S/A","2,53","53,38","16.100","859.418","859.418,00","Bens de primeira necessidade","B1P3R43","BRSMTOACNOR3","XBSP","Brasil","BRL","1,00"
"IGTA3","IGUATEMI EMPRESA DE SHOPPING CENTE","2,50","28,17","30.100","847.917","847.917,00","Produtos financeiros","B1NXMK6","BRIGTAACNOR5","XBSP","Brasil","BRL","1,00"
"DTEX3","DURATEX SA","2,33","8,50","93.142","791.707","791.707,00","Materiais","B27WY88","BRDTEXACNOR3","XBSP","Brasil","BRL","1,00"
"CESP6","CIA ENERGETICA DE SAO PAULO PRF B","2,28","11,90","65.100","774.690","774.690,00","Serviços públicos","B17MHG0","BRCESPACNPB4","XBSP","Brasil","BRL","1,00"
"MRFG3","MARFRIG FRIGORIFICOS SA","2,13","5,62","128.800","723.856","723.856,00","Bens de primeira necessidade","B1YWHR4","BRMRFGACNOR0","XBSP","Brasil","BRL","1,00"
"BRAP4","BRADESPAR SA","2,06","8,85","79.100","700.035","700.035,00","Materiais","B01SCS4","BRBRAPACNPR2","XBSP","Brasil","BRL","1,00"
"HGTX3","HERING TEXTIL","1,99","14,84","45.500","675.220","675.220,00","Consumo discricionário","B010V16","BRHGTXACNOR9","XBSP","Brasil","BRL","1,00"
"VLID3","VALID SOLUCOES E SERVICOS DE SEGUR","1,82","27,50","22.400","616.000","616.000,00","Bens Industriais","B13NPP2","BRVLIDACNOR5","XBSP","Brasil","BRL","1,00"
"CSMG3","COMPANHIA DE SANEAMENTO DE MINAS G","1,77","29,60","20.300","600.880","600.880,00","Serviços públicos","B0YBZJ2","BRCSMGACNOR5","XBSP","Brasil","BRL","1,00"
"ECOR3","ECORODOVIAS INFRAESTRUTURA E LOGIS","1,75","8,38","70.700","592.466","592.466,00","Bens Industriais","B5720R0","BRECORACNOR8","XBSP","Brasil","BRL","1,00"
"MPLU3","MULTIPLUS S/A","1,72","36,15","16.100","582.015","582.015,00","Consumo discricionário","B3PRVV4","BRMPLUACNOR3","XBSP","Brasil","BRL","1,00"
"BEEF3","MINERVA S/A","1,70","9,16","63.000","577.080","577.080,00","Bens de primeira necessidade","B23GH52","BRBEEFACNOR6","XBSP","Brasil","BRL","1,00"
"LINX3","LINX SA","1,70","16,11","35.700","575.127","575.127,00","Tecnologia de informação","B9DL3B4","BRLINXACNOR0","XBSP","Brasil","BRL","1,00"
"BRSR6","BANCO ESTADO DO RIO GRANDE DO SUL","1,57","8,54","62.300","532.042","532.042,00","Produtos financeiros","B23F8S9","BRBRSRACNPB4","XBSP","Brasil","BRL","1,00"
"ALPA4","SAO PAULO ALPARGATAS PREF SA","1,53","10,46","49.700","519.862","519.862,00","Consumo discricionário","B07C796","BRALPAACNPR7","XBSP","Brasil","BRL","1,00"
"GRND3","GRENDENE SA","1,43","16,46","29.400","483.924","483.924,00","Consumo discricionário","B03L0B0","BRGRNDACNOR3","XBSP","Brasil","BRL","1,00"
"POMO4","MARCOPOLO S/A","1,36","2,40","192.500","462.000","462.000,00","Bens Industriais","2599131","BRPOMOACNPR7","XBSP","Brasil","BRL","1,00"
"GOAU4","METALURGICA GERDAU S.A.","1,26","2,00","213.500","427.000","427.000,00","Materiais","2648862","BRGOAUACNPR8","XBSP","Brasil","BRL","1,00"
"ALSC3","ALIANSCE SHOPPING CENTERS S/A","1,19","14,10","28.700","404.670","404.670,00","Produtos financeiros","B23FNB7","BRALSCACNOR0","XBSP","Brasil","BRL","1,00"
"LIGT3","LIGHT SA","1,16","11,27","35.000","394.450","394.450,00","Serviços públicos","B0W1X34","BRLIGTACNOR2","XBSP","Brasil","BRL","1,00"
"ALUP11","ALUPAR INVESTIMENTO UNITS SA","1,13","14,00","27.383","383.362","383.362,00","Serviços públicos","B8DWT90","BRALUPCDAM15","XBSP","Brasil","BRL","1,00"
"BTOW3","B2W COMPANHIA DIGITAL","1,09","9,40","39.200","368.480","368.480,00","Consumo discricionário","B1LH3Y1","BRBTOWACNOR8","XBSP","Brasil","BRL","1,00"
"USIM5","USINAS SIDERURGICAS DE MINAS GERAI","1,05","1,97","180.665","355.910","355.910,05","Materiais","2386009","BRUSIMACNPA6","XBSP","Brasil","BRL","1,00"
"MYPK3","IOCHPE-MAXION S.A.","1,02","13,70","25.200","345.240","345.240,00","Bens Industriais","B06YX28","BRMYPKACNOR7","XBSP","Brasil","BRL","1,00"
"VVAR11","VIA VAREJO UNITS SA","1,00","7,45","45.500","338.975","338.975,00","Consumo discricionário","BGSHPP4","BRVVARCDAM10","XBSP","Brasil","BRL","1,00"
"BRPR3","BR PROPERTIES SA","0,98","7,50","44.130","330.975","330.975,00","Produtos financeiros","B1FLW42","BRBRPRACNOR9","XBSP","Brasil","BRL","1,00"
"LEVE3","MAHLE-METAL LEVE SA","0,95","22,95","14.000","321.300","321.300,00","Consumo discricionário","B0HZY49","BRLEVEACNOR2","XBSP","Brasil","BRL","1,00"
"CVCB3","CVC BRASIL OPERADORA E AGENCIA DE","0,95","22,89","14.000","320.460","320.460,00","Consumo discricionário","BGSH2S6","BRCVCBACNOR1","XBSP","Brasil","BRL","1,00"
"EZTC3","EZ TEC EMPREENDIMENTOS E PARTICIPA","0,93","16,00","19.617","313.872","313.872,00","Consumo discricionário","B1YW5V4","BREZTCACNOR0","XBSP","Brasil","BRL","1,00"
"ENBR9","EDP ENERGIAS DO BRASIL SA RECEIPTS","0,90","13,62","22.443","305.674","305.673,66","Serviços públicos","BYZJK10","BRENBRR01OR7","XBSP","Brasil","BRL","1,00"
