Código,Nome,Peso (%),Preço,Cotas,Valor de mercado,Valor de face,Setor,SEDOL,Código ISIN,Bolsa,Localização,Moeda,Taxa de câmbio
"OIBR4","OI PREF SA","4,96","1,95","949.800","1.852.110","-","Telecomunica��es","B7XL5Q9","BROIBRACNPR8","XBSP","Brasil","BRL","1,00"
"TOTS3","TOTVS S/A","4,34","38,00","42.600","1.618.800","-","Tecnologia de informação","B10LQP6","BRTOTSACNOR8","XBSP","Brasil","BRL","1,00"
"BRPR3","BR PROPERTIES SA","3,36","13,31","94.200","1.253.802","-","Financeiro e Outros","B1FLW42","BRBRPRACNOR9","XBSP","Brasil","BRL","1,00"
"EQTL3","EQUATORIAL ENERGIA SA","3,27","25,14","48.600","1.221.804","-","Serviços públicos","B128R96","BREQTLACNOR0","XBSP","Brasil","BRL","1,00"
"SULA11","SUL AMERICA UNITS SA","3,22","15,65","76.800","1.201.920","-","Financeiro e Outros","B27WYK0","BRSULACDAM12","XBSP","Brasil","BRL","1,00"
"ALLL3","ALL AMERICA LATINA LOGISTICA S.A.","3,08","8,33","138.000","1.149.540","-","Constru��o e Transporte","B014710","BRALLLACNOR6","XBSP","Brasil","BRL","1,00"
"HGTX3","HERING TEXTIL","2,43","22,24","40.800","907.392","-","Consumo Cíclico","B010V16","BRHGTXACNOR9","XBSP","Brasil","BRL","1,00"
"ENBR3","ENERGIAS DO BRASIL SA","2,16","10,85","74.400","807.240","-","Serviços públicos","B0D7494","BRENBRACNOR2","XBSP","Brasil","BRL","1,00"
"CYRE3","CYRELA BRAZIL REALTY S/A EMPREENDI","2,13","13,82","57.600","796.032","-","Constru��o e Transporte","2189855","BRCYREACNOR7","XBSP","Brasil","BRL","1,00"
"SMLE3","SMILES SA","2,11","46,98","16.800","789.264","-","Consumo Cíclico","B97PYY2","BRSMLEACNOR1","XBSP","Brasil","BRL","1,00"
"TRPL4","COMPANHIA DE TRANSMISSAO DE ENERGI","2,09","27,65","28.200","779.730","-","Serviços públicos","2440972","BRTRPLACNPR1","XBSP","Brasil","BRL","1,00"
"OIBR3","OI SA","2,07","2,08","370.800","771.264","-","Telecomunica��es","B7XL4M8","BROIBRACNOR1","XBSP","Brasil","BRL","1,00"
"ODPV3","ODONTOPREV SA","2,06","9,50","81.000","769.500","-","Consumo Não Cíclico","B1H6R62","BRODPVACNOR4","XBSP","Brasil","BRL","1,00"
"CSMG3","COMPANHIA DE SANEAMENTO DE MINAS G","2,02","40,50","18.600","753.300","-","Serviços públicos","B0YBZJ2","BRCSMGACNOR5","XBSP","Brasil","BRL","1,00"
"POMO4","MARCOPOLO PREF SA","1,99","4,29","173.400","743.886","-","Bens Industriais","2599131","BRPOMOACNPR7","XBSP","Brasil","BRL","1,00"
"MRVE3","MRV ENGENHARIA E PARTICIPACOES S/A","1,93","7,46","96.600","720.636","-","Constru��o e Transporte","B235JN1","BRMRVEACNOR2","XBSP","Brasil","BRL","1,00"
"LIGT3","LIGHT SA","1,80","21,56","31.200","672.672","-","Serviços públicos","B0W1X34","BRLIGTACNOR2","XBSP","Brasil","BRL","1,00"
"VLID3","VALID SOLUCOES E SERVICOS DE SEGUR","1,78","38,28","17.400","666.072","-","Bens Industriais","B13NPP2","BRVLIDACNOR5","XBSP","Brasil","BRL","1,00"
"MRFG3","MARFRIG FRIGORIFICOS SA","1,77","5,96","111.000","661.560","-","Consumo Não Cíclico","B1YWHR4","BRMRFGACNOR0","XBSP","Brasil","BRL","1,00"
"MILS3","MILLS ESTRUTURAS E SERVICOS DE ENG","1,75","25,93","25.200","653.436","-","Constru��o e Transporte","B5LGRJ9","BRMILSACNOR2","XBSP","Brasil","BRL","1,00"
"PDGR3","PDG REALTY SA","1,62","1,46","415.200","606.192","-","Constru��o e Transporte","B1N9YL9","BRPDGRACNOR8","XBSP","Brasil","BRL","1,00"
"IGTA3","IGUATEMI EMPRESA DE SHOPPING CENTE","1,61","22,32","27.000","602.640","-","Financeiro e Outros","B1NXMK6","BRIGTAACNOR5","XBSP","Brasil","BRL","1,00"
"BRSR6","BANCO DO ESTADO DO RIO GRANDE DO S","1,61","10,75","55.800","599.850","-","Financeiro e Outros","B23F8S9","BRBRSRACNPB4","XBSP","Brasil","BRL","1,00"
"ALPA4","SAO PAULO ALPARGATAS PREF SA","1,50","11,50","48.600","558.900","-","Consumo Cíclico","B07C796","BRALPAACNPR7","XBSP","Brasil","BRL","1,00"
"LINX3","LINX SA","1,42","51,79","10.200","528.258","-","Tecnologia de informação","B9DL3B4","BRLINXACNOR0","XBSP","Brasil","BRL","1,00"
"SMTO3","SAO MARTINHO S/A","1,41","40,00","13.200","528.000","-","Consumo Não Cíclico","B1P3R43","BRSMTOACNOR3","XBSP","Brasil","BRL","1,00"
"ABRE11","ABRIL EDUCACAO UNITS SA","1,40","34,82","15.000","522.300","-","Consumo Cíclico","B5LL1F8","BRABRECDAM15","XBSP","Brasil","BRL","1,00"
"BTOW3","B2W COMPANHIA DIGITAL","1,40","28,00","18.600","520.800","-","Consumo Cíclico","B1LH3Y1","BRBTOWACNOR8","XBSP","Brasil","BRL","1,00"
"MPLU3","MULTIPLUS S/A","1,35","36,49","13.800","503.562","-","Consumo Cíclico","B3PRVV4","BRMPLUACNOR3","XBSP","Brasil","BRL","1,00"
"-","Brazilian Op. Compromissada","1,33","100,00","496.918","496.918","-","Caixa","-","-","-","-","BRL","1,00"
"MYPK3","IOCHPE MAXION SA","1,21","19,73","22.800","449.844","-","Bens Industriais","B06YX28","BRMYPKACNOR7","XBSP","Brasil","BRL","1,00"
"EVEN3","EVEN CONSTRUTORA E INCORPORADORA S","1,20","6,55","68.400","448.020","-","Constru��o e Transporte","B1VD2Z3","BREVENACNOR8","XBSP","Brasil","BRL","1,00"
"ALSC3","ALIANSCE SHOPPING CENTERS S/A","1,18","17,96","24.600","441.816","-","Financeiro e Outros","B23FNB7","BRALSCACNOR0","XBSP","Brasil","BRL","1,00"
"ARZZ3","AREZZO INDUSTRIA E SA","1,12","31,56","13.200","416.592","-","Consumo Cíclico","B3NS1W0","BRARZZACNOR3","XBSP","Brasil","BRL","1,00"
"GOLL4","GOL LINHAS AEREAS INTELIGENTES PRE","1,02","12,02","31.800","382.236","-","Constru��o e Transporte","B01NTS8","BRGOLLACNPR4","XBSP","Brasil","BRL","1,00"
"ALUP11","ALUPAR INVESTIMENTO UNITS SA","1,02","16,20","23.400","379.080","-","Serviços públicos","B8DWT90","BRALUPCDAM15","XBSP","Brasil","BRL","1,00"
"EZTC3","EZ TEC EMPREENDIMENTOS E PARTICIPA","0,98","23,42","15.600","365.352","-","Constru��o e Transporte","B1YW5V4","BREZTCACNOR0","XBSP","Brasil","BRL","1,00"
"DASA3","DIAGNOSTICOS DA AMERICA S/A","0,95","14,03","25.200","353.556","-","Consumo Não Cíclico","B03WBK9","BRDASAACNOR1","XBSP","Brasil","BRL","1,00"
"BEEF3","MINERVA S/A","0,93","11,09","31.200","346.008","-","Consumo Não Cíclico","B23GH52","BRBEEFACNOR6","XBSP","Brasil","BRL","1,00"
"GRND3","GRENDENE SA","0,91","13,81","24.600","339.726","-","Consumo Cíclico","B03L0B0","BRGRNDACNOR3","XBSP","Brasil","BRL","1,00"
"MEAL3","INTERNATIONAL MEAL COMPANY SA","0,89","20,50","16.200","332.100","-","Consumo Cíclico","B57Q1F7","BRIMCHACNOR4","XBSP","Brasil","BRL","1,00"
"GFSA3","GAFISA S/A","0,89","3,37","98.400","331.608","-","Constru��o e Transporte","2479619","BRGFSAACNOR3","XBSP","Brasil","BRL","1,00"
"ELPL4","ELETROPAULO ELETRICIDADE METROPOLI","0,86","10,75","30.000","322.500","-","Serviços públicos","B66HFL2","BRELPLACNPR6","XBSP","Brasil","BRL","1,00"
"SEER3","SER EDUCACIONAL SA","0,82","25,53","12.000","306.360","-","Consumo Cíclico","BFH4PZ9","BRSEERACNOR5","XBSP","Brasil","BRL","1,00"
"RAPT4","RANDON PREF SA","0,81","6,16","49.225","303.226","-","Bens Industriais","B010V49","BRRAPTACNPR4","XBSP","Brasil","BRL","1,00"
