Código,Nome,Peso (%),Preço,Cotas,Valor de mercado,Valor de face,Setor,SEDOL,Código ISIN,Bolsa,Localização,Moeda,Taxa de câmbio
"TGMA3","TEGMA GESTAO LOGISTICA S/A","0,65","35,00","28.000","980.000","-","Constru��o e Transporte","B1ZBDK5","BRTGMAACNOR7","XBSP","Brasil","BRL","1,00"
"CGAS5","COMPANHIA DE GAS DE SAO PAULO PF A","1,08","58,50","28.000","1.638.000","-","Serviços públicos","2039110","BRCGASACNPA3","XBSP","Brasil","BRL","1,00"
"POSI3","POSITIVO INFORMATICA SA","0,10","5,04","30.000","151.200","-","Tecnologia de informação","B1J04K5","BRPOSIACNOR9","XBSP","Brasil","BRL","1,00"
"COCE5","COMPANHIA ENERGETICA DO CEARA","0,95","45,00","32.000","1.440.000","-","Serviços públicos","B1YCJ34","BRCOCEACNPA3","XBSP","Brasil","BRL","1,00"
"LEVE3","MAHLE-METAL LEVE SA","0,79","25,00","48.000","1.200.000","-","Bens Industriais","B0HZY49","BRLEVEACNOR2","XBSP","Brasil","BRL","1,00"
"STBP11","SANTOS BRASIL SA","1,01","29,20","52.000","1.518.400","-","Constru��o e Transporte","B29TGT2","BRSTBPCDAM10","XBSP","Brasil","BRL","1,00"
"LPSB3","LPS BRASIL CONSULTORIA DE IMOVEIS","1,30","37,80","52.000","1.965.600","-","Constru��o e Transporte","B1L86W3","BRLPSBACNOR0","XBSP","Brasil","BRL","1,00"
"ARZZ3","AREZZO INDUSTRIA E SA","1,36","39,55","52.000","2.056.600","-","Consumo Cíclico","B3NS1W0","BRARZZACNOR3","XBSP","Brasil","BRL","1,00"
"ABCB4","BANCO ABC BRASIL S/A","0,52","14,12","56.000","790.720","-","Financeiro e Outros","B23DMP8","BRABCBACNPR4","XBSP","Brasil","BRL","1,00"
"AMAR3","MARISA LOJAS S.A.","1,25","32,53","58.000","1.886.740","-","Consumo Cíclico","B3V89C8","BRAMARACNOR4","XBSP","Brasil","BRL","1,00"
"SLCE3","SLC AGRICOLA S/A","0,79","19,85","60.000","1.191.000","-","Consumo Não Cíclico","B1Y4WK8","BRSLCEACNOR2","XBSP","Brasil","BRL","1,00"
"FLRY3","FLEURY S/A","0,95","23,05","62.000","1.429.100","-","Consumo Não Cíclico","B4X4D29","BRFLRYACNOR5","XBSP","Brasil","BRL","1,00"
"EZTC3","EZ TEC EMPREENDIMENTOS E PARTICIPA","1,06","25,70","62.000","1.593.400","-","Constru��o e Transporte","B1YW5V4","BREZTCACNOR0","XBSP","Brasil","BRL","1,00"
"VLID3","VALID SOLUCOES E SERVICOS DE SEGUR","2,05","45,50","68.000","3.094.000","-","Bens Industriais","B13NPP2","BRVLIDACNOR5","XBSP","Brasil","BRL","1,00"
"CSMG3","COMPANHIA DE SANEAMENTO DE MINAS G","2,09","43,75","72.000","3.150.000","-","Serviços públicos","B0YBZJ2","BRCSMGACNOR5","XBSP","Brasil","BRL","1,00"
"MGLU3","MAGAZINE LUIZA S.A.","0,60","12,15","74.000","899.100","-","Consumo Cíclico","B4975P9","BRMGLUACNOR2","XBSP","Brasil","BRL","1,00"
"BICB4","BANCO INDUSTRIAL E COMERCIAL S/A","0,34","6,70","76.000","509.200","-","Financeiro e Outros","B284ZP7","BRBICBACNPR7","XBSP","Brasil","BRL","1,00"
"BRIN3","BRASIL INSURANCE PARTICIPACOES E A","1,01","20,00","76.000","1.520.000","-","Financeiro e Outros","B5L5SJ3","BRBRINACNOR3","XBSP","Brasil","BRL","1,00"
"OSXB3","OSX BRASIL S/A","0,55","10,65","78.000","830.700","-","Oil, Gas and Biofuels","B24C6X0","BROSXBACNOR8","XBSP","Brasil","BRL","1,00"
"MYPK3","IOCHPE MAXION SA","1,41","27,35","78.000","2.133.300","-","Bens Industriais","B06YX28","BRMYPKACNOR7","XBSP","Brasil","BRL","1,00"
"CCXC3","CCX CARVAO DA COLOMBIA SA","0,11","2,05","80.000","164.000","-","Materiais Básicos","B86LFL8","BRCCXCACNOR5","XBSP","Brasil","BRL","1,00"
"LLIS3","RESTOQUE COMERCIO E CONFECCOES DE","0,50","9,52","80.000","761.600","-","Consumo Cíclico","B2R7VR1","BRLLISACNOR4","XBSP","Brasil","BRL","1,00"
"BTOW3","B2W COMPANHIA DIGITAL","0,90","17,00","80.000","1.360.000","-","Consumo Cíclico","B1LH3Y1","BRBTOWACNOR8","XBSP","Brasil","BRL","1,00"
"ESTC3","ESTACIO PARTICIPACOES SA","2,27","41,72","82.000","3.421.040","-","Consumo Cíclico","B23PBF7","BRESTCACNOR5","XBSP","Brasil","BRL","1,00"
"IGTA3","IGUATEMI EMPRESA DE SHOPPING CENTE","1,66","27,24","92.000","2.506.080","-","Financeiro e Outros","B1NXMK6","BRIGTAACNOR5","XBSP","Brasil","BRL","1,00"
"MILS3","MILLS ESTRUTURAS E SERVICOS DE ENG","2,07","34,00","92.000","3.128.000","-","Constru��o e Transporte","B5LGRJ9","BRMILSACNOR2","XBSP","Brasil","BRL","1,00"
"GRND3","GRENDENE SA","1,03","16,49","94.000","1.550.060","-","Consumo Cíclico","B03L0B0","BRGRNDACNOR3","XBSP","Brasil","BRL","1,00"
"BEEF3","MINERVA S/A","0,71","11,24","96.000","1.079.040","-","Consumo Não Cíclico","B23GH52","BRBEEFACNOR6","XBSP","Brasil","BRL","1,00"
"QGEP3","QGEP PARTICIPACOES SA","0,85","13,12","98.000","1.285.760","-","Oil, Gas and Biofuels","B3M5360","BRQGEPACNOR8","XBSP","Brasil","BRL","1,00"
"HBOR3","HELBOR EMPREENDIMENTOS S/A","0,85","12,55","102.000","1.280.100","-","Constru��o e Transporte","B28RS68","BRHBORACNOR3","XBSP","Brasil","BRL","1,00"
"LUPA3","LUPATECH S A SAINARY SHARES BRAZIL","0,12","1,65","108.000","178.200","-","Bens Industriais","B14TFV5","BRLUPAACNOR8","XBSP","Brasil","BRL","1,00"
"TCSA3","TECNISA S/A","0,59","8,06","110.000","886.600","-","Constru��o e Transporte","B1N9YM0","BRTCSAACNOR3","XBSP","Brasil","BRL","1,00"
"ELPL4","ELETROPAULO ELETRICIDADE METROPOLI","1,29","16,80","116.000","1.948.800","-","Serviços públicos","B66HFL2","BRELPLACNPR6","XBSP","Brasil","BRL","1,00"
"ALSC3","ALIANSCE SHOPPING CENTERS S/A","1,88","24,46","116.000","2.837.360","-","Financeiro e Outros","B23FNB7","BRALSCACNOR0","XBSP","Brasil","BRL","1,00"
"GOLL4","GOL LINHAS AEREAS INTELIGENTES PRE","1,04","12,90","122.000","1.573.800","-","Constru��o e Transporte","B01NTS8","BRGOLLACNPR4","XBSP","Brasil","BRL","1,00"
"LIGT3","LIGHT SA","1,80","22,32","122.000","2.723.040","-","Serviços públicos","B0W1X34","BRLIGTACNOR2","XBSP","Brasil","BRL","1,00"
"RSID9","ROSSI RESIDENCIAL SA RECEIPTS","0,36","4,38","122.995","538.718","-","Constru��o e Transporte","B8L5R19","BRRSIDR02OR1","XBSP","Brasil","BRL","1,00"
"BBRK3","BRASIL BROKERS PARTICIPACOES","0,58","6,80","128.000","870.400","-","Constru��o e Transporte","B28XFX2","BRBBRKACNOR4","XBSP","Brasil","BRL","1,00"
"JHSF3","JHSF PARTICIPACOES S/A","0,76","8,61","134.000","1.153.740","-","Constru��o e Transporte","B1VN5C1","BRJHSFACNOR2","XBSP","Brasil","BRL","1,00"
"SULA11","SUL AMERICA UNITS SA","1,57","17,70","134.000","2.371.800","-","Financeiro e Outros","B27WYK0","BRSULACDAM12","XBSP","Brasil","BRL","1,00"
"RAPT4","RANDON PREF SA","1,28","12,69","152.000","1.928.880","-","Bens Industriais","B010V49","BRRAPTACNPR4","XBSP","Brasil","BRL","1,00"
"EQTL3","EQUATORIAL ENERGIA SA","1,96","18,73","158.000","2.959.340","-","Serviços públicos","B128R96","BREQTLACNOR0","XBSP","Brasil","BRL","1,00"
"TOTS3","TOTVS S/A","4,33","40,39","162.000","6.543.180","-","Tecnologia de informação","B10LQP6","BRTOTSACNOR8","XBSP","Brasil","BRL","1,00"
"QUAL3","QUALICORP SA","2,30","21,21","164.000","3.478.440","-","Consumo Não Cíclico","B4LHBQ0","BRQUALACNOR6","XBSP","Brasil","BRL","1,00"
"KROT3","KROTON EDUCACIONAL SA","5,15","46,25","168.000","7.770.000","-","Consumo Cíclico","2836946","BRKROTACNOR9","XBSP","Brasil","BRL","1,00"
"ALPA4","SAO PAULO ALPARGATAS PREF SA","1,72","15,10","172.000","2.597.200","-","Consumo Cíclico","B07C796","BRALPAACNPR7","XBSP","Brasil","BRL","1,00"
"ARTR3","ARTERIS SA","2,16","18,95","172.000","3.259.400","-","Constru��o e Transporte","B97Q0K3","BRARTRACNOR3","XBSP","Brasil","BRL","1,00"
"AEDU3","ANHANGUERA EDUCACIONAL SA","4,12","34,57","180.000","6.222.600","-","Consumo Cíclico","2796084","BRAEDUACNOR9","XBSP","Brasil","BRL","1,00"
"RSID3","ROSSI RESIDENCIAL SA","0,55","4,55","182.000","828.100","-","Constru��o e Transporte","B0WPDR0","BRRSIDACNOR8","XBSP","Brasil","BRL","1,00"
"BPAN4","BANCO PAN PREF SA","0,66","5,15","194.000","999.100","-","Financeiro e Outros","B2940Z1","BRBPNMACNPR6","XBSP","Brasil","BRL","1,00"
"MAGG3","MAGNESITA REFRATARIOS SA","1,17","8,25","214.000","1.765.500","-","Materiais Básicos","B23VRX5","BRMAGGACNOR4","XBSP","Brasil","BRL","1,00"
"BRSR6","BANCO DO ESTADO DO RIO GRANDE DO S","2,24","15,51","218.000","3.381.180","-","Financeiro e Outros","B23F8S9","BRBRSRACNPB4","XBSP","Brasil","BRL","1,00"
"EVEN3","EVEN CONSTRUTORA E INCORPORADORA S","1,44","9,40","232.000","2.180.800","-","Constru��o e Transporte","B1VD2Z3","BREVENACNOR8","XBSP","Brasil","BRL","1,00"
"MMXM1","MMX MINERACAO E METALICOS SA RIGHT","0,06","0,40","243.150","97.260","-","Materiais Básicos","B82R907","BRMMXMD04OR1","XBSP","Brasil","BRL","1,00"
"MNDL3","MUNDIAL SA","0,02","0,15","246.000","36.900","-","Consumo Cíclico","2301927","BRMNDLACNOR4","XBSP","Brasil","BRL","1,00"
"ENBR3","ENERGIAS DO BRASIL SA","2,40","12,49","290.000","3.622.100","-","Serviços públicos","B0D7494","BRENBRACNOR2","XBSP","Brasil","BRL","1,00"
"TERI3","TEREOS INTERNACIONAL S/A","0,61","3,09","300.000","927.000","-","Consumo Não Cíclico","B450Z41","BRTERIACNOR4","XBSP","Brasil","BRL","1,00"
"ODPV3","ODONTOPREV SA","2,27","10,73","320.000","3.433.600","-","Consumo Não Cíclico","B1H6R62","BRODPVACNOR4","XBSP","Brasil","BRL","1,00"
"BISA3","BROOKFIELD INCORPORACOES SA","0,75","3,42","330.156","1.129.134","-","Constru��o e Transporte","B1FY4S9","BRBISAACNOR8","XBSP","Brasil","BRL","1,00"
"PRIO3","PETRO RIO SA","1,05","4,73","336.000","1.589.280","-","Oil, Gas and Biofuels","B4LW4N3","BRHRTPACNOR2","XBSP","Brasil","BRL","1,00"
"POMO4","MARCOPOLO PREF SA","2,89","12,90","338.000","4.360.200","-","Bens Industriais","2599131","BRPOMOACNPR7","XBSP","Brasil","BRL","1,00"
"MRFG3","MARFRIG FRIGORIFICOS SA","2,04","8,48","364.000","3.086.720","-","Consumo Não Cíclico","B1YWHR4","BRMRFGACNOR0","XBSP","Brasil","BRL","1,00"
"DASA3","DIAGNOSTICOS DA AMERICA S/A","3,30","13,19","378.000","4.985.820","-","Consumo Não Cíclico","B03WBK9","BRDASAACNOR1","XBSP","Brasil","BRL","1,00"
"LLXL3","PRUMO LOGISTICA SA","0,62","2,40","390.000","936.000","-","Constru��o e Transporte","B3BXMS0","BRLLXLACNOR8","XBSP","Brasil","BRL","1,00"
"MRVE3","MRV ENGENHARIA E PARTICIPACOES S/A","3,13","11,98","394.000","4.720.120","-","Constru��o e Transporte","B235JN1","BRMRVEACNOR2","XBSP","Brasil","BRL","1,00"
"PMAM3","PARANAPANEMA S/A","1,31","4,96","398.000","1.974.080","-","Materiais Básicos","B092PF6","BRPMAMACNOR3","XBSP","Brasil","BRL","1,00"
"SUZB5","SUZANO BAHIA SUL PAPEL CELULOSE CL","1,86","7,02","400.000","2.808.000","-","Materiais Básicos","B02GKF0","BRSUZBACNPA3","XBSP","Brasil","BRL","1,00"
"MMXM3","MMX MINERACAO E METALICOS S.A.","1,29","4,45","438.000","1.949.100","-","Materiais Básicos","B18XCG7","BRMMXMACNOR2","XBSP","Brasil","BRL","1,00"
"GFSA3","GAFISA S/A","1,68","4,71","540.000","2.543.400","-","Constru��o e Transporte","2479619","BRGFSAACNOR3","XBSP","Brasil","BRL","1,00"
"VAGR9","VANGUARDA AGRO SA RECEIPTS","0,25","0,40","933.375","373.350","-","Consumo Não Cíclico","B8BNVD3","BRVAGRR01OR7","XBSP","Brasil","BRL","1,00"
"PDGR3","PDG REALTY SA","3,07","3,31","1.402.000","4.640.620","-","Constru��o e Transporte","B1N9YL9","BRPDGRACNOR8","XBSP","Brasil","BRL","1,00"
"TESA3","TERRA SANTA AGRO SA","0,43","0,41","1.598.000","655.180","-","Consumo Não Cíclico","B4Q9YS4","BRVAGRACNOR2","XBSP","Brasil","BRL","1,00"
