Código,Nome,Peso (%),Preço,Cotas,Valor de mercado,Valor de face,Setor,SEDOL,Código ISIN,Bolsa,Localização,Moeda,Taxa de câmbio
"AEDU3","ANHANGUERA EDUCACIONAL SA","5,39","14,90","278.400","4.148.160","-","-","2796084","BRAEDUACNOR9","XBSP","Brasil","BRL","1,00"
"ESTC3","ESTACIO PARTICIPACOES SA","4,93","20,41","186.000","3.796.260","-","-","B23PBF7","BRESTCACNOR5","XBSP","Brasil","BRL","1,00"
"BRPR3","BR PROPERTIES SA","4,81","18,60","199.200","3.705.120","-","-","B1FLW42","BRBRPRACNOR9","XBSP","Brasil","BRL","1,00"
"TOTS3","TOTVS S/A","4,15","36,96","86.400","3.193.344","-","-","B10LQP6","BRTOTSACNOR8","XBSP","Brasil","BRL","1,00"
"DASA3","DIAGNOSTICOS DA AMERICA S/A","3,68","14,56","194.400","2.830.464","-","-","B03WBK9","BRDASAACNOR1","XBSP","Brasil","BRL","1,00"
"QUAL3","QUALICORP SA","3,61","22,50","123.600","2.781.000","-","-","B4LHBQ0","BRQUALACNOR6","XBSP","Brasil","BRL","1,00"
"HGTX3","HERING TEXTIL","3,17","29,90","81.600","2.439.840","-","-","B010V16","BRHGTXACNOR9","XBSP","Brasil","BRL","1,00"
"EQTL3","EQUATORIAL ENERGIA SA","2,96","23,15","98.400","2.277.960","-","-","B128R96","BREQTLACNOR0","XBSP","Brasil","BRL","1,00"
"RADL3","RAIA DROGASIL SA","2,37","14,78","123.600","1.826.808","-","-","B7FQV64","BRRADLACNOR0","XBSP","Brasil","BRL","1,00"
"POMO4","MARCOPOLO PREF SA","2,31","5,10","349.200","1.780.920","-","-","2599131","BRPOMOACNPR7","XBSP","Brasil","BRL","1,00"
"ENBR3","ENERGIAS DO BRASIL SA","2,21","11,35","150.000","1.702.500","-","-","B0D7494","BRENBRACNOR2","XBSP","Brasil","BRL","1,00"
"MILS3","MILLS ESTRUTURAS E SERVICOS DE ENG","2,16","33,00","50.400","1.663.200","-","-","B5LGRJ9","BRMILSACNOR2","XBSP","Brasil","BRL","1,00"
"MRVE3","MRV ENGENHARIA E PARTICIPACOES S/A","2,14","8,43","195.600","1.648.908","-","-","B235JN1","BRMRVEACNOR2","XBSP","Brasil","BRL","1,00"
"ODPV3","ODONTOPREV SA","2,07","9,83","162.000","1.592.460","-","-","B1H6R62","BRODPVACNOR4","XBSP","Brasil","BRL","1,00"
