Código,Nome,Peso (%),Preço,Cotas,Valor de mercado,Valor de face,Setor,SEDOL,Código ISIN,Bolsa,Localização,Moeda,Taxa de câmbio
"OSXB9","OSX BRASIL SA RECEIPTS","0,00","1,40","1.740","2.436","-","Oil, Gas and Biofuels","BB2CV41","BROSXBR05OR4","XBSP","Brasil","BRL","1,00"
"TGMA3","TEGMA GESTAO LOGISTICA S/A","0,51","24,80","25.200","624.960","-","Constru��o e Transporte","B1ZBDK5","BRTGMAACNOR7","XBSP","Brasil","BRL","1,00"
"SSBR3","SONAE SIERRA BRASIL SA","0,58","24,40","28.800","702.720","-","Financeiro e Outros","B67HNG2","BRSSBRACNOR1","XBSP","Brasil","BRL","1,00"
"LEVE3","MAHLE-METAL LEVE SA","0,88","24,77","43.200","1.070.064","-","Bens Industriais","B0HZY49","BRLEVEACNOR2","XBSP","Brasil","BRL","1,00"
"MEAL3","INTERNATIONAL MEAL COMPANY SA","0,85","21,31","48.600","1.035.666","-","Consumo Cíclico","B57Q1F7","BRIMCHACNOR4","XBSP","Brasil","BRL","1,00"
"SMTO3","SAO MARTINHO S/A","1,03","25,74","48.600","1.250.964","-","Consumo Não Cíclico","B1P3R43","BRSMTOACNOR3","XBSP","Brasil","BRL","1,00"
"STBP11","SANTOS BRASIL SA","1,16","29,16","48.600","1.417.176","-","Constru��o e Transporte","B29TGT2","BRSTBPCDAM10","XBSP","Brasil","BRL","1,00"
"ARZZ3","AREZZO INDUSTRIA E SA","1,35","33,95","48.600","1.649.970","-","Consumo Cíclico","B3NS1W0","BRARZZACNOR3","XBSP","Brasil","BRL","1,00"
"MPLU3","MULTIPLUS S/A","1,34","32,56","50.400","1.641.024","-","Consumo Cíclico","B3PRVV4","BRMPLUACNOR3","XBSP","Brasil","BRL","1,00"
"ABCB4","BANCO ABC BRASIL S/A","0,60","13,51","54.000","729.540","-","Financeiro e Outros","B23DMP8","BRABCBACNPR4","XBSP","Brasil","BRL","1,00"
"SLCE3","SLC AGRICOLA S/A","0,84","18,92","54.000","1.021.680","-","Consumo Não Cíclico","B1Y4WK8","BRSLCEACNOR2","XBSP","Brasil","BRL","1,00"
"AMAR3","MARISA LOJAS S.A.","1,02","23,04","54.000","1.244.160","-","Consumo Cíclico","B3V89C8","BRAMARACNOR4","XBSP","Brasil","BRL","1,00"
"EZTC3","EZ TEC EMPREENDIMENTOS E PARTICIPA","1,25","27,38","55.800","1.527.804","-","Constru��o e Transporte","B1YW5V4","BREZTCACNOR0","XBSP","Brasil","BRL","1,00"
"FLRY3","FLEURY S/A","0,86","18,20","57.600","1.048.320","-","Consumo Não Cíclico","B4X4D29","BRFLRYACNOR5","XBSP","Brasil","BRL","1,00"
"VLID3","VALID SOLUCOES E SERVICOS DE SEGUR","1,64","32,64","61.200","1.997.568","-","Bens Industriais","B13NPP2","BRVLIDACNOR5","XBSP","Brasil","BRL","1,00"
"JSLG3","JSL S.A.","0,75","14,54","63.000","916.020","-","Constru��o e Transporte","B5LBY82","BRJSLGACNOR2","XBSP","Brasil","BRL","1,00"
"BRIN3","BRASIL INSURANCE PARTICIPACOES E A","1,13","21,90","63.000","1.379.700","-","Financeiro e Outros","B5L5SJ3","BRBRINACNOR3","XBSP","Brasil","BRL","1,00"
"CSMG3","COMPANHIA DE SANEAMENTO DE MINAS G","1,96","36,00","66.600","2.397.600","-","Serviços públicos","B0YBZJ2","BRCSMGACNOR5","XBSP","Brasil","BRL","1,00"
"MGLU3","MAGAZINE LUIZA S.A.","0,30","5,38","68.400","367.992","-","Consumo Cíclico","B4975P9","BRMGLUACNOR2","XBSP","Brasil","BRL","1,00"
"BTOW3","B2W COMPANHIA DIGITAL","0,39","6,55","72.000","471.600","-","Consumo Cíclico","B1LH3Y1","BRBTOWACNOR8","XBSP","Brasil","BRL","1,00"
