Código,Nome,Peso (%),Preço,Cotas,Valor de mercado,Valor de face,Setor,SEDOL,Código ISIN,Bolsa,Localização,Moeda,Taxa de câmbio
"ITUB4","ITAU UNIBANCO HOLDING PREF SA","10,50","26,33","6.003.694","158.077.263","158.077.263,02","Produtos financeiros","B037HR3","BRITUBACNPR1","XBSP","Brasil","BRL","1,00"
"ABEV3","AMBEV SA","7,68","17,85","6.474.018","115.561.221","115.561.221,30","Bens de primeira necessidade","BG7ZWY7","BRABEVACNOR1","XBSP","Brasil","BRL","1,00"
"BBDC4","BANCO BRADESCO PREF","6,46","19,28","5.045.797","97.282.966","97.282.966,16","Produtos financeiros","B00FM53","BRBBDCACNPR8","XBSP","Brasil","BRL","1,00"
"BRFS3","BRF SA","4,90","55,40","1.332.000","73.792.800","73.792.800,00","Bens de primeira necessidade","2036995","BRBRFSACNOR8","XBSP","Brasil","BRL","1,00"
"PETR4","PETROLEO BRASILEIRO PREF SA","3,76","6,70","8.435.400","56.517.180","56.517.180,00","Energia","2684532","BRPETRACNPR6","XBSP","Brasil","BRL","1,00"
"CIEL3","CIELO S/A","3,60","33,59","1.614.114","54.218.089","54.218.089,26","Tecnologia de informação","B614LY3","BRCIELACNOR3","XBSP","Brasil","BRL","1,00"
"ITSA4","ITAUSA-INVESTIMENTOS ITAU S/A","3,30","6,88","7.219.984","49.673.490","49.673.489,92","Produtos financeiros","2458771","BRITSAACNPR7","XBSP","Brasil","BRL","1,00"
"PETR3","PETROBRAS","3,22","8,57","5.646.900","48.393.933","48.393.933,00","Energia","2682365","BRPETRACNOR9","XBSP","Brasil","BRL","1,00"
"UGPA3","ULTRAPAR PARTICIPACOES S/A","2,88","60,45","715.800","43.270.110","43.270.110,00","Energia","B0FHTN1","BRUGPAACNOR8","XBSP","Brasil","BRL","1,00"
"JBSS3","JBS S/A","2,87","12,35","3.502.700","43.258.345","43.258.345,00","Bens de primeira necessidade","B1V74X7","BRJBSSACNOR8","XBSP","Brasil","BRL","1,00"
"VALE5","VALE S A","2,78","10,25","4.074.700","41.765.675","41.765.675,00","Materiais","2257127","BRVALEACNPA3","XBSP","Brasil","BRL","1,00"
"BVMF3","BMF BOVESPA BOLSA DE VALORES MERCA","2,69","10,89","3.717.200","40.480.308","40.480.308,00","Produtos financeiros","B2RHNV9","BRBVMFACNOR3","XBSP","Brasil","BRL","1,00"
"VALE3","CIA VALE DO RIO DOCE SH","2,66","13,03","3.074.500","40.060.735","40.060.735,00","Materiais","2196286","BRVALEACNOR0","XBSP","Brasil","BRL","1,00"
"VIVT4","TELEFONICA BRASIL SA","2,38","35,75","1.001.000","35.785.750","35.785.750,00","Telecomunica��es","B3ZCNF7","BRVIVTACNPR7","XBSP","Brasil","BRL","1,00"
"BBSE3","BB SEGURIDADE SA","2,31","24,33","1.430.000","34.791.900","34.791.900,00","Produtos financeiros","B9N3SQ0","BRBBSEACNOR5","XBSP","Brasil","BRL","1,00"
"EMBR3","EMBRAER SA","2,29","30,19","1.140.800","34.440.752","34.440.752,00","Bens Industriais","B16FPG6","BREMBRACNOR4","XBSP","Brasil","BRL","1,00"
"KROT3","KROTON EDUCACIONAL SA","2,13","9,53","3.359.740","32.018.322","32.018.322,20","Consumo discricionário","2836946","BRKROTACNOR9","XBSP","Brasil","BRL","1,00"
"BRL","BRL CASH","2,07","100,00","31.172.328","31.172.328","31.172.327,88","Cash and/or Derivatives","-","-","-","Brasil","BRL","1,00"
"BBAS3","BANCO DO BRASIL S/A","1,68","14,74","1.715.200","25.282.048","25.282.048,00","Produtos financeiros","2328595","BRBBASACNOR3","XBSP","Brasil","BRL","1,00"
"FIBR3","FIBRIA CELULOSE S.A.","1,60","51,89","464.000","24.076.960","24.076.960,00","Materiais","B04M7D3","BRFIBRACNOR9","XBSP","Brasil","BRL","1,00"
"KLBN11","KLABIN UNITS SA","1,56","23,45","1.000.200","23.454.690","23.454.690,00","Materiais","BJ0K6Z9","BRKLBNCDAM18","XBSP","Brasil","BRL","1,00"
"BBDC3","BANCO BRADESCO","1,51","20,50","1.111.734","22.790.547","22.790.547,00","Produtos financeiros","B00FM86","BRBBDCACNOR1","XBSP","Brasil","BRL","1,00"
"LREN3","LOJAS RENNER S/A","1,50","17,10","1.322.100","22.607.910","22.607.910,00","Consumo discricionário","B0CGYD6","BRLRENACNOR1","XBSP","Brasil","BRL","1,00"
"CCRO3","COMPANHIA CONCESSOES RODOVIARIAS S","1,49","12,55","1.786.700","22.423.085","22.423.085,00","Bens Industriais","2840970","BRCCROACNOR2","XBSP","Brasil","BRL","1,00"
"CTIP3","CETIP SA BALCAO ORGANIZADO DE ATIV","1,31","37,50","527.304","19.773.900","19.773.900,00","Produtos financeiros","B55DVB6","BRCTIPACNOR2","XBSP","Brasil","BRL","1,00"
"WEGE3","WEG SA","1,15","14,95","1.156.800","17.294.160","17.294.160,00","Bens Industriais","2945422","BRWEGEACNOR0","XBSP","Brasil","BRL","1,00"
"HYPE3","HYPERMARCAS S/A","1,13","21,71","786.500","17.074.915","17.074.915,00","Bens de primeira necessidade","B2QY968","BRHYPEACNOR0","XBSP","Brasil","BRL","1,00"
"LAME4","LOJAS AMERICANAS S.A.","1,10","19,40","856.449","16.615.111","16.615.110,60","Consumo discricionário","2516710","BRLAMEACNPR6","XBSP","Brasil","BRL","1,00"
"BRKM5","BRASKEM PREF SERIES A SA","1,05","27,62","572.000","15.798.640","15.798.640,00","Materiais","B0774N4","BRBRKMACNPA4","XBSP","Brasil","BRL","1,00"
"RADL3","RAIA DROGASIL SA","1,01","35,48","429.000","15.220.920","15.220.920,00","Bens de primeira necessidade","B7FQV64","BRRADLACNOR0","XBSP","Brasil","BRL","1,00"
"EQTL3","EQUATORIAL ENERGIA SA","0,98","34,24","429.000","14.688.960","14.688.960,00","Serviços públicos","B128R96","BREQTLACNOR0","XBSP","Brasil","BRL","1,00"
"SUZB5","SUZANO PAPEL E CELULOSE S/A","0,97","18,69","784.100","14.654.829","14.654.829,00","Materiais","B02GKF0","BRSUZBACNPA3","XBSP","Brasil","BRL","1,00"
"TBLE3","TRACTEBEL ENERGIA S/A","0,95","33,49","429.000","14.367.210","14.367.210,00","Serviços públicos","B07C763","BRTBLEACNOR2","XBSP","Brasil","BRL","1,00"
