Código,Nome,Peso (%),Preço,Cotas,Valor de mercado,Valor de face,Setor,SEDOL,Código ISIN,Bolsa,Localização,Moeda,Taxa de câmbio
"ITUB4","ITAU UNIBANCO HOLDING PREF SA","10,44","33,85","5.706.086","193.151.011","193.151.011,10","Produtos financeiros","B037HR3","BRITUBACNPR1","XBSP","Brasil","BRL","1,00"
"BBDC4","BANCO BRADESCO PREF SA","7,55","29,00","4.818.585","139.738.965","139.738.965,00","Produtos financeiros","B00FM53","BRBBDCACNPR8","XBSP","Brasil","BRL","1,00"
"ABEV3","AMBEV SA","7,02","16,40","7.924.918","129.968.655","129.968.655,20","Bens de primeira necessidade","BG7ZWY7","BRABEVACNOR1","XBSP","Brasil","BRL","1,00"
"PETR4","PETROLEO BRASILEIRO PREF SA","5,86","14,87","7.291.100","108.418.657","108.418.657,00","Energia","2684532","BRPETRACNPR6","XBSP","Brasil","BRL","1,00"
"VALE5","VALE PREF SA","4,48","23,34","3.550.400","82.866.336","82.866.336,00","Materiais","2257127","BRVALEACNPA3","XBSP","Brasil","BRL","1,00"
"PETR3","PETROBRAS","4,47","16,94","4.881.900","82.699.386","82.699.386,00","Energia","2682365","BRPETRACNOR9","XBSP","Brasil","BRL","1,00"
"VALE3","CIA VALE DO RIO DOCE SH","3,70","25,68","2.662.800","68.380.704","68.380.704,00","Materiais","2196286","BRVALEACNOR0","XBSP","Brasil","BRL","1,00"
"BRFS3","BRF SA","3,64","48,25","1.394.800","67.299.100","67.299.100,00","Bens de primeira necessidade","2036995","BRBRFSACNOR8","XBSP","Brasil","BRL","1,00"
"BBAS3","BANCO DO BRASIL S/A","3,37","28,09","2.219.000","62.331.710","62.331.710,00","Produtos financeiros","2328595","BRBBASACNOR3","XBSP","Brasil","BRL","1,00"
"ITSA4","ITAUSA INVESTIMENTOS ITAU PREF SA","3,09","8,28","6.910.792","57.221.358","57.221.357,76","Produtos financeiros","2458771","BRITSAACNPR7","XBSP","Brasil","BRL","1,00"
"BVMF3","BMF BOVESPA BOLSA DE VALORES MERCA","2,88","16,50","3.233.400","53.351.100","53.351.100,00","Produtos financeiros","B2RHNV9","BRBVMFACNOR3","XBSP","Brasil","BRL","1,00"
"UGPA3","ULTRAPAR PARTICIPOES SA","2,73","68,45","738.700","50.564.015","50.564.015,00","Energia","B0FHTN1","BRUGPAACNOR8","XBSP","Brasil","BRL","1,00"
"CIEL3","CIELO S/A","2,54","27,89","1.682.854","46.934.798","46.934.798,06","Tecnologia de informação","B614LY3","BRCIELACNOR3","XBSP","Brasil","BRL","1,00"
"BRL","BRL CASH","2,09","100,00","38.584.700","38.584.700","38.584.700,34","Cash and/or Derivatives","-","-","-","Brasil","BRL","1,00"
"BBSE3","BB SEGURIDADE SA","1,84","28,30","1.204.600","34.090.180","34.090.180,00","Produtos financeiros","B9N3SQ0","BRBBSEACNOR5","XBSP","Brasil","BRL","1,00"
"KROT3","KROTON EDUCACIONAL SA","1,83","13,33","2.536.040","33.805.413","33.805.413,20","Consumo discricionário","2836946","BRKROTACNOR9","XBSP","Brasil","BRL","1,00"
"VIVT4","TELEFONICA BRASIL PREF SA","1,81","44,08","760.800","33.536.064","33.536.064,00","Telecomunica��es","B3ZCNF7","BRVIVTACNPR7","XBSP","Brasil","BRL","1,00"
"JBSS3","JBS S/A","1,72","11,40","2.789.700","31.802.580","31.802.580,00","Bens de primeira necessidade","B1V74X7","BRJBSSACNOR8","XBSP","Brasil","BRL","1,00"
