Código,Nome,Peso (%),Preço,Cotas,Valor de mercado,Valor de face,Setor,SEDOL,Código ISIN,Bolsa,Localização,Moeda,Taxa de câmbio
"CTEEP","CIA DE TRANSMISSAO DE ENERGIA ELEC","0,00","50,19","386","19.373","-","Serviços públicos","B50N6S3","BRTRPLR03PR2","XBSP","Brasil","BRL","1,00"
"AMBV10","CIA DE BEBIDAS DAS AMERICAS RCT","0,00","51,40","708","36.391","-","Consumo Não Cíclico","B5NSYX6","BRAMBVR07PR3","XBSP","Brasil","BRL","1,00"
"ITSA10","ITAUSA-INV ITAU-RCT","0,02","12,00","12.187","146.244","-","Financeiro e Outros","B67RRT3","BRITSAR13PR7","XBSP","Brasil","BRL","1,00"
"TRPL4","COMPANHIA DE TRANSMISSAO DE ENERGI","0,16","50,19","25.200","1.264.788","-","Serviços públicos","2440972","BRTRPLACNPR1","XBSP","Brasil","BRL","1,00"
"TMAR5","TELEMAR NORTE LESTE SA","0,17","51,90","25.200","1.307.880","-","Telecomunica��es","B02PFC9","BRTMARACNPA7","XBSP","Brasil","BRL","1,00"
"BISA9","BROOKFIELD INCORPORACOES SA","0,02","7,21","25.396","183.105","-","Constru��o e Transporte","B4YTKN3","BRBISAR02OR1","XBSP","Brasil","BRL","1,00"
"SBSP3","COMPANHIA DE SANEAMENTO BASICO DE","0,30","46,48","50.400","2.342.592","-","Serviços públicos","B1YCHL8","BRSBSPACNOR5","XBSP","Brasil","BRL","1,00"
"TNLP3","TELE NORTE LESTE SA","0,22","27,15","63.000","1.710.450","-","Telecomunica��es","B02PDQ9","BRTNLPACNOR3","XBSP","Brasil","BRL","1,00"
"CPLE6","CIA PARANAENSE DE ENERGIA COPEL PR","0,61","41,50","113.400","4.706.100","-","Serviços públicos","2200154","BRCPLEACNPB9","XBSP","Brasil","BRL","1,00"
"PCAR4","COMPANHIA BRASILEIRA DE DISTRIBUIC","1,05","72,15","113.400","8.181.810","-","Consumo Não Cíclico","B5VGS74","BRPCARACNPR0","XBSP","Brasil","BRL","1,00"
"CCRO3","COMPANHIA CONCESSOES RODOVIARIAS S","0,75","46,45","126.000","5.852.700","-","Constru��o e Transporte","2840970","BRCCROACNOR2","XBSP","Brasil","BRL","1,00"
"UGPA4","ULTRAPAR PARTICIPACOES S.A. PREF","0,49","27,65","138.600","3.832.290","-","Financeiro e Outros","B0HZNY2","BRUGPAACNPR5","XBSP","Brasil","BRL","1,00"
"CPFE3","CPFL ENERGIA S.A.","0,43","22,30","151.200","3.371.760","-","Serviços públicos","B031NN3","BRCPFEACNOR0","XBSP","Brasil","BRL","1,00"
"CESP6","COMPANHIA ENERGETICA DE SAO PAULO","0,60","30,65","151.200","4.634.280","-","Serviços públicos","B17MHG0","BRCESPACNPB4","XBSP","Brasil","BRL","1,00"
"ELPL4","ELETROPAULO ELETRICIDADE METROPOLI","0,66","33,86","151.200","5.119.632","-","Serviços públicos","B66HFL2","BRELPLACNPR6","XBSP","Brasil","BRL","1,00"
"TIMP3","TIM PARTICIPACOES S/A","0,19","8,90","163.800","1.457.820","-","Telecomunica��es","2292560","BRTIMPACNOR1","XBSP","Brasil","BRL","1,00"
"USIM3","USINAS SIDERURGICAS DE MINAS GERAI","0,50","23,48","163.800","3.846.024","-","Materiais Básicos","2193696","BRUSIMACNOR3","XBSP","Brasil","BRL","1,00"
"LIGT3","LIGHT SA","0,62","29,36","163.800","4.809.168","-","Serviços públicos","B0W1X34","BRLIGTACNOR2","XBSP","Brasil","BRL","1,00"
"TAMM4","TAM SA PREF","0,71","33,50","163.800","5.487.300","-","Constru��o e Transporte","2324496","BRTAMMACNPR2","XBSP","Brasil","BRL","1,00"
"NATU3","NATURA COSMETICOS S.A.","0,82","39,00","163.800","6.388.200","-","Consumo Não Cíclico","B014K55","BRNATUACNOR6","XBSP","Brasil","BRL","1,00"
"LREN3","LOJAS RENNER S/A","1,26","59,50","163.800","9.746.100","-","Consumo Cíclico","B0CGYD6","BRLRENACNOR1","XBSP","Brasil","BRL","1,00"
"ELET6","CENTRAIS ELETR BRAS-ELETROBRAS SER","0,60","26,38","176.400","4.653.432","-","Serviços públicos","2308445","BRELETACNPB7","XBSP","Brasil","BRL","1,00"
"BRAP4","BRADESPAR PREF SA","0,90","39,60","176.400","6.985.440","-","Financeiro e Outros","B01SCS4","BRBRAPACNPR2","XBSP","Brasil","BRL","1,00"
"ABEV3","COMPANHIA DE BEBIDAS DAS AMERICAS","1,17","51,33","176.400","9.054.612","-","Consumo Não Cíclico","2361976","BRAMBVACNPR1","XBSP","Brasil","BRL","1,00"
"BRTO4","BRASIL TELECOM S.A. PREF","0,37","15,00","189.000","2.835.000","-","Telecomunica��es","B1XFXG5","BRBRTOACNPR5","XBSP","Brasil","BRL","1,00"
"TLPP4","TELECOMUNICACOES DE SAO PAULO S/A","1,11","45,40","189.000","8.580.600","-","Telecomunica��es","B08ZWF5","BRTLPPACNPR5","XBSP","Brasil","BRL","1,00"
"CRUZ3","SOUZA CRUZ SA","0,52","19,86","201.600","4.003.776","-","Consumo Não Cíclico","2832148","BRCRUZACNOR0","XBSP","Brasil","BRL","1,00"
"BTOW3","B2W COMPANHIA DIGITAL","0,53","19,05","214.205","4.080.605","-","Consumo Cíclico","B1LH3Y1","BRBTOWACNOR8","XBSP","Brasil","BRL","1,00"
"BRKM5","BRASKEM PREF SERIES A SA","0,65","22,29","226.800","5.055.372","-","Materiais Básicos","B0774N4","BRBRKMACNPA4","XBSP","Brasil","BRL","1,00"
"ELET3","CENTRAIS ELETR BRAS-ELETROBRAS","0,64","20,89","239.400","5.001.066","-","Serviços públicos","2311120","BRELETACNOR6","XBSP","Brasil","BRL","1,00"
"TNLP4","TELE NORTE LESTE PARTICIPACOES SA","0,78","23,95","252.000","6.035.400","-","Telecomunica��es","B02PDW5","BRTNLPACNPR0","XBSP","Brasil","BRL","1,00"
"CSAN3","COSAN S/A INDUSTRIA E COMERCIO","0,80","24,60","252.000","6.199.200","-","Consumo Não Cíclico","B0P72G5","BRCSANACNOR6","XBSP","Brasil","BRL","1,00"
"GOLL4","GOL LINHAS AEREAS INTELIGENTES PRE","0,67","18,63","277.200","5.164.236","-","Constru��o e Transporte","B01NTS8","BRGOLLACNPR4","XBSP","Brasil","BRL","1,00"
"CMIG4","CIA ENERGETICA DE MINAS GERAIS PRE","1,13","31,67","277.200","8.778.924","-","Serviços públicos","B1YBRG0","BRCMIGACNPR3","XBSP","Brasil","BRL","1,00"
"GOAU4","METALURGICA GERDAU PREF SA","0,75","20,00","289.800","5.796.000","-","Materiais Básicos","2648862","BRGOAUACNPR8","XBSP","Brasil","BRL","1,00"
"CIEL3","CIELO S/A","1,52","39,00","302.498","11.797.422","-","Financeiro e Outros","B614LY3","BRCIELACNOR3","XBSP","Brasil","BRL","1,00"
"JBSS1","JBS SA - RTS","0,00","0,01","311.382","3.114","-","Consumo Não Cíclico","B5LPKP3","BRJBSSD03OR9","-","Brasil","BRL","1,00"
"BRFS3","BRF SA","1,08","26,50","315.000","8.347.500","-","Consumo Não Cíclico","2036995","BRBRFSACNOR8","XBSP","Brasil","BRL","1,00"
"DTEX3","DURATEX SA","0,58","13,21","340.200","4.494.042","-","Materiais Básicos","B27WY88","BRDTEXACNOR3","XBSP","Brasil","BRL","1,00"
"EMBR3","EMBRAER SA","0,56","11,90","365.400","4.348.260","-","Bens Industriais","B16FPG6","BREMBRACNOR4","XBSP","Brasil","BRL","1,00"
"MRFG3","MARFRIG FRIGORIFICOS SA","0,72","15,40","365.400","5.627.160","-","Consumo Não Cíclico","B1YWHR4","BRMRFGACNOR0","XBSP","Brasil","BRL","1,00"
