Código,Nome,Peso (%),Preço,Cotas,Valor de mercado,Valor de face,Setor,SEDOL,Código ISIN,Bolsa,Localização,Moeda,Taxa de câmbio
"CSNA3","COMPANHIA SIDERURGICA NACIONAL","0,72","9,40","1.022.100","9.607.740","-","Materiais Básicos","B019KX8","BRCSNAACNOR6","XBSP","Brasil","BRL","1,00"
"NATU3","NATURA COSMETICOS S.A.","0,72","37,25","256.500","9.554.625","-","Consumo Não Cíclico","B014K55","BRNATUACNOR6","XBSP","Brasil","BRL","1,00"
"HYPE3","HYPERMARCAS S/A","0,67","19,25","461.700","8.887.725","-","Consumo Não Cíclico","B2QY968","BRHYPEACNOR0","XBSP","Brasil","BRL","1,00"
"LAME4","LOJAS AMERICANAS PN REP1 PREF SA","0,65","14,10","615.649","8.680.651","-","Consumo Cíclico","2516710","BRLAMEACNPR6","XBSP","Brasil","BRL","1,00"
"CPFE3","CPFL ENERGIA S.A.","0,63","20,33","410.400","8.343.432","-","Serviços públicos","B031NN3","BRCPFEACNOR0","XBSP","Brasil","BRL","1,00"
"OIBR4","OI PREF SA","0,63","1,95","4.257.900","8.302.905","-","Telecomunica��es","B7XL5Q9","BROIBRACNPR8","XBSP","Brasil","BRL","1,00"
"RENT3","LOCALIZA RENT A CAR S/A","0,56","36,44","205.201","7.477.524","-","Consumo Cíclico","B08K3S0","BRRENTACNOR4","XBSP","Brasil","BRL","1,00"
"KLBN11","KLABIN UNITS SA","0,56","11,10","666.900","7.402.590","-","Materiais Básicos","BJ0K6Z9","BRKLBNCDAM18","XBSP","Brasil","BRL","1,00"
"CESP6","COMPANHIA ENERGETICA DE SAO PAULO","0,54","27,80","256.500","7.130.700","-","Serviços públicos","B17MHG0","BRCESPACNPB4","XBSP","Brasil","BRL","1,00"
"QUAL3","QUALICORP SA","0,50","26,10","256.500","6.694.650","-","Consumo Não Cíclico","B4LHBQ0","BRQUALACNOR6","XBSP","Brasil","BRL","1,00"
"FIBR3","FIBRIA CELULOSE S.A.","0,50","21,43","307.800","6.596.154","-","Materiais Básicos","B04M7D3","BRFIBRACNOR9","XBSP","Brasil","BRL","1,00"
"BRAP4","BRADESPAR PREF SA","0,47","20,25","307.800","6.232.950","-","Financeiro e Outros","B01SCS4","BRBRAPACNPR2","XBSP","Brasil","BRL","1,00"
"CSAN3","COSAN S/A INDUSTRIA E COMERCIO","0,47","40,10","153.900","6.171.390","-","Consumo Não Cíclico","B0P72G5","BRCSANACNOR6","XBSP","Brasil","BRL","1,00"
"BRPR3","BR PROPERTIES SA","0,46","13,31","461.700","6.145.227","-","Financeiro e Outros","B1FLW42","BRBRPRACNOR9","XBSP","Brasil","BRL","1,00"
"GOAU4","METALURGICA GERDAU PREF SA","0,42","15,63","359.100","5.612.733","-","Materiais Básicos","2648862","BRGOAUACNPR8","XBSP","Brasil","BRL","1,00"
"SUZB5","SUZANO BAHIA SUL PAPEL CELULOSE CL","0,42","8,39","666.900","5.595.291","-","Materiais Básicos","B02GKF0","BRSUZBACNPA3","XBSP","Brasil","BRL","1,00"
"CPLE6","CIA PARANAENSE DE ENERGIA COPEL PR","0,39","33,88","153.900","5.214.132","-","Serviços públicos","2200154","BRCPLEACNPB9","XBSP","Brasil","BRL","1,00"
"ALLL3","ALL AMERICA LATINA LOGISTICA S.A.","0,39","8,33","615.600","5.127.948","-","Constru��o e Transporte","B014710","BRALLLACNOR6","XBSP","Brasil","BRL","1,00"
"BRKM5","BRASKEM PREF SERIES A SA","0,38","14,09","359.100","5.059.719","-","Materiais Básicos","B0774N4","BRBRKMACNPA4","XBSP","Brasil","BRL","1,00"
"USIM5","USINAS SIDERURGICAS DE MINAS GERAI","0,38","7,58","666.900","5.055.102","-","Materiais Básicos","2386009","BRUSIMACNPA6","XBSP","Brasil","BRL","1,00"
"ECOR3","ECORODOVIAS INFRAESTRUTURA E LOGIS","0,35","15,14","307.900","4.661.606","-","Constru��o e Transporte","B5720R0","BRECORACNOR8","XBSP","Brasil","BRL","1,00"
"HGTX3","HERING TEXTIL","0,34","22,24","205.200","4.563.648","-","Consumo Cíclico","B010V16","BRHGTXACNOR9","XBSP","Brasil","BRL","1,00"
"ENBR3","ENERGIAS DO BRASIL SA","0,29","10,85","359.100","3.896.235","-","Serviços públicos","B0D7494","BRENBRACNOR2","XBSP","Brasil","BRL","1,00"
"CYRE3","CYRELA BRAZIL REALTY S/A EMPREENDI","0,27","13,82","256.500","3.544.830","-","Constru��o e Transporte","2189855","BRCYREACNOR7","XBSP","Brasil","BRL","1,00"
"LIGT3","LIGHT SA","0,25","21,56","153.900","3.318.084","-","Serviços públicos","B0W1X34","BRLIGTACNOR2","XBSP","Brasil","BRL","1,00"
"DTEX3","DURATEX SA","0,24","9,02","359.185","3.239.849","-","Materiais Básicos","B27WY88","BRDTEXACNOR3","XBSP","Brasil","BRL","1,00"
"ELET6","CENTRAIS ELETR BRAS-ELETROBRAS SER","0,24","10,50","307.800","3.231.900","-","Serviços públicos","2308445","BRELETACNPB7","XBSP","Brasil","BRL","1,00"
"MRVE3","MRV ENGENHARIA E PARTICIPACOES S/A","0,23","7,46","410.400","3.061.584","-","Constru��o e Transporte","B235JN1","BRMRVEACNOR2","XBSP","Brasil","BRL","1,00"
"MRFG3","MARFRIG FRIGORIFICOS SA","0,23","5,96","513.000","3.057.480","-","Consumo Não Cíclico","B1YWHR4","BRMRFGACNOR0","XBSP","Brasil","BRL","1,00"
"PDGR3","PDG REALTY SA","0,20","1,46","1.846.800","2.696.328","-","Constru��o e Transporte","B1N9YL9","BRPDGRACNOR8","XBSP","Brasil","BRL","1,00"
"EVEN3","EVEN CONSTRUTORA E INCORPORADORA S","0,15","6,55","307.800","2.016.090","-","Constru��o e Transporte","B1VD2Z3","BREVENACNOR8","XBSP","Brasil","BRL","1,00"
"ELET3","CENTRAIS ELETR BRAS-ELETROBRAS","0,15","6,39","307.800","1.966.842","-","Serviços públicos","2311120","BRELETACNOR6","XBSP","Brasil","BRL","1,00"
"GOLL4","GOL LINHAS AEREAS INTELIGENTES PRE","0,14","12,02","153.900","1.849.878","-","Constru��o e Transporte","B01NTS8","BRGOLLACNPR4","XBSP","Brasil","BRL","1,00"
"ELPL4","ELETROPAULO ELETRICIDADE METROPOLI","0,12","10,75","148.000","1.591.000","-","Serviços públicos","B66HFL2","BRELPLACNPR6","XBSP","Brasil","BRL","1,00"
"GFSA3","GAFISA S/A","0,12","3,37","461.700","1.555.929","-","Constru��o e Transporte","2479619","BRGFSAACNOR3","XBSP","Brasil","BRL","1,00"
"RSID3","ROSSI RESIDENCIAL SA","0,07","1,73","513.000","887.490","-","Constru��o e Transporte","B0WPDR0","BRRSIDACNOR8","XBSP","Brasil","BRL","1,00"
"BISA3","BROOKFIELD INCORPORACOES SA","0,04","1,45","410.400","595.080","-","Constru��o e Transporte","B1FY4S9","BRBISAACNOR8","XBSP","Brasil","BRL","1,00"
"MMXM3","MMX MINERACAO E METALICOS S.A.","0,02","2,03","106.600","216.398","-","Materiais Básicos","B18XCG7","BRMMXMACNOR2","XBSP","Brasil","BRL","1,00"
"ABEV9","AMBEV SA RECEIPTS","0,01","15,43","4.618","71.256","-","Consumo Não Cíclico","BM688S5","BRABEVR01OR6","XBSP","Brasil","BRL","1,00"
"GOLL2","GOL LINHAS AEREAS INTELIGENTES RIG","0,00","0,01","4.004","40","-","Constru��o e Transporte","BN57FQ7","BRGOLLD05PR0","XBSP","Brasil","BRL","1,00"
