Código,Nome,Peso (%),Preço,Cotas,Valor de mercado,Valor de face,Setor,SEDOL,Código ISIN,Bolsa,Localização,Moeda,Taxa de câmbio
"ITSA10","ITAUSA-RCT","0,01","10,93","3.130","34.211","-","Financeiro e Outros","B44PRR4","BRITSAR12PR9","XBSP","Brasil","BRL","1,00"
"TLPP4","TELECOMUNICACOES DE SAO PAULO S/A","0,18","36,10","16.200","584.820","-","Telecomunica��es","B08ZWF5","BRTLPPACNPR5","XBSP","Brasil","BRL","1,00"
"ABEV3","COMPANHIA DE BEBIDAS DAS AMERICAS","0,93","179,91","17.136","3.082.938","-","Consumo Não Cíclico","2361976","BRAMBVACNPR1","XBSP","Brasil","BRL","1,00"
"TMAR5","TELEMAR NORTE LESTE SA","0,32","49,00","21.600","1.058.400","-","Telecomunica��es","B02PFC9","BRTMARACNPA7","XBSP","Brasil","BRL","1,00"
"UGPA4","ULTRAPAR PARTICIPACOES S.A. PREF","0,56","86,39","21.600","1.866.024","-","Financeiro e Outros","B0HZNY2","BRUGPAACNPR5","XBSP","Brasil","BRL","1,00"
"TRPL4","COMPANHIA DE TRANSMISSAO DE ENERGI","0,30","46,50","21.621","1.005.377","-","Serviços públicos","2440972","BRTRPLACNPR1","XBSP","Brasil","BRL","1,00"
"TNLP3","TELE NORTE LESTE SA","0,31","37,70","27.000","1.017.900","-","Telecomunica��es","B02PDQ9","BRTNLPACNOR3","XBSP","Brasil","BRL","1,00"
"CRUZ3","SOUZA CRUZ SA","0,55","68,00","27.000","1.836.000","-","Consumo Não Cíclico","2832148","BRCRUZACNOR0","XBSP","Brasil","BRL","1,00"
"SBSP3","COMPANHIA DE SANEAMENTO BASICO DE","0,43","37,50","37.800","1.417.500","-","Serviços públicos","B1YCHL8","BRSBSPACNOR5","XBSP","Brasil","BRL","1,00"
"USIM3","USINAS SIDERURGICAS DE MINAS GERAI","0,62","47,40","43.200","2.047.680","-","Materiais Básicos","2193696","BRUSIMACNOR3","XBSP","Brasil","BRL","1,00"
"PCAR5","COMPANHIA BRASILEIRA DE DISTRIBUIC","0,82","62,98","43.290","2.726.404","-","Consumo Não Cíclico","2667771","BRPCARACNPA6","XBSP","Brasil","BRL","1,00"
"CPFE3","CPFL ENERGIA S.A.","0,58","39,41","48.600","1.915.326","-","Serviços públicos","B031NN3","BRCPFEACNOR0","XBSP","Brasil","BRL","1,00"
"VIVO4","VIVO PARTICIPACOES S.A. PREF","0,76","46,40","54.025","2.506.760","-","Telecomunica��es","B07C7D0","BRVIVOACNPR8","XBSP","Brasil","BRL","1,00"
"CPLE6","CIA PARANAENSE DE ENERGIA COPEL PR","0,67","37,20","59.400","2.209.680","-","Serviços públicos","2200154","BRCPLEACNPB9","XBSP","Brasil","BRL","1,00"
"BTOW3","B2W COMPANHIA DIGITAL","0,59","30,08","64.800","1.949.184","-","Consumo Cíclico","B1LH3Y1","BRBTOWACNOR8","XBSP","Brasil","BRL","1,00"
"CCRO3","COMPANHIA CONCESSOES RODOVIARIAS S","0,73","37,38","64.800","2.422.224","-","Constru��o e Transporte","2840970","BRCCROACNOR2","XBSP","Brasil","BRL","1,00"
"ELPL4","ELETROPAULO METROPOLITANA ELETRICI","0,76","35,96","70.200","2.524.392","-","Serviços públicos","B17R2H1","BRELPLACNPB0","XBSP","Brasil","BRL","1,00"
"NATU3","NATURA COSMETICOS S.A.","0,91","40,00","75.600","3.024.000","-","Consumo Não Cíclico","B014K55","BRNATUACNOR6","XBSP","Brasil","BRL","1,00"
"LIGT3","LIGHT SA","0,51","21,02","81.000","1.702.620","-","Serviços públicos","B0W1X34","BRLIGTACNOR2","XBSP","Brasil","BRL","1,00"
