Código,Nome,Peso (%),Preço,Cotas,Valor de mercado,Valor de face,Setor,SEDOL,Código ISIN,Bolsa,Localização,Moeda,Taxa de câmbio
"ITUB4","ITAU UNIBANCO HOLDING PREF SA","10,49","34,60","4.262.469","147.481.427","-","Financeiro e Outros","B037HR3","BRITUBACNPR1","XBSP","Brasil","BRL","1,00"
"ABEV3","AMBEV SA","8,18","16,35","7.027.818","114.904.824","-","Consumo Não Cíclico","BG7ZWY7","BRABEVACNOR1","XBSP","Brasil","BRL","1,00"
"BBDC4","BANCO BRADESCO PREF SA","8,05","35,06","3.225.699","113.093.007","-","Financeiro e Outros","B00FM53","BRBBDCACNPR8","XBSP","Brasil","BRL","1,00"
"PETR4","PETROLEO BRASILEIRO PREF SA","4,56","10,02","6.393.600","64.063.872","-","Oil, Gas and Biofuels","2684532","BRPETRACNPR6","XBSP","Brasil","BRL","1,00"
"BRFS3","BRF SA","4,55","63,44","1.008.200","63.960.208","-","Consumo Não Cíclico","2036995","BRBRFSACNOR8","XBSP","Brasil","BRL","1,00"
"VALE5","VALE PREF SA","4,10","19,23","2.995.200","57.597.696","-","Materiais Básicos","2257127","BRVALEACNPA3","XBSP","Brasil","BRL","1,00"
"ITSA4","ITAUSA INVESTIMENTOS ITAU PREF SA","3,31","9,39","4.953.660","46.514.867","-","Financeiro e Outros","2458771","BRITSAACNPR7","XBSP","Brasil","BRL","1,00"
"VALE3","CIA VALE DO RIO DOCE SH","3,14","21,91","2.016.900","44.190.279","-","Materiais Básicos","2196286","BRVALEACNOR0","XBSP","Brasil","BRL","1,00"
"CIEL3","CIELO S/A","3,08","41,67","1.037.298","43.224.208","-","Financeiro e Outros","B614LY3","BRCIELACNOR3","XBSP","Brasil","BRL","1,00"
"PETR3","PETROBRAS","2,95","9,59","4.320.000","41.428.800","-","Oil, Gas and Biofuels","2682365","BRPETRACNOR9","XBSP","Brasil","BRL","1,00"
"KROT3","KROTON EDUCACIONAL SA","2,80","15,50","2.534.540","39.285.370","-","Consumo Cíclico","2836946","BRKROTACNOR9","XBSP","Brasil","BRL","1,00"
"UGPA3","ULTRAPAR PARTICIPOES SA","2,53","51,45","691.300","35.567.385","-","Financeiro e Outros","B0FHTN1","BRUGPAACNOR8","XBSP","Brasil","BRL","1,00"
"BBSE3","BB SEGURIDADE SA","2,50","32,16","1.094.400","35.195.904","-","Financeiro e Outros","B9N3SQ0","BRBBSEACNOR5","XBSP","Brasil","BRL","1,00"
