Código,Nome,Peso (%),Preço,Cotas,Valor de mercado,Valor de face,Setor,SEDOL,Código ISIN,Bolsa,Localização,Moeda,Taxa de câmbio
"GOLL2","GOL LINHAS AEREAS INTELIGENTES-RTS","0,00","0,01","28.764","288","-","Constru��o e Transporte","B5N6DF5","BRGOLLD04PR3","-","Brasil","BRL","1,00"
"TMAR5","TELEMAR NORTE LESTE SA","0,16","44,78","31.800","1.424.004","-","Telecomunica��es","B02PFC9","BRTMARACNPA7","XBSP","Brasil","BRL","1,00"
"TRPL4","COMPANHIA DE TRANSMISSAO DE ENERGI","0,21","57,99","31.800","1.844.082","-","Serviços públicos","2440972","BRTRPLACNPR1","XBSP","Brasil","BRL","1,00"
"SBSP3","COMPANHIA DE SANEAMENTO BASICO DE","0,37","52,03","63.600","3.309.108","-","Serviços públicos","B1YCHL8","BRSBSPACNOR5","XBSP","Brasil","BRL","1,00"
"TNLP3","TELE NORTE LESTE SA","0,19","21,46","79.500","1.706.070","-","Telecomunica��es","B02PDQ9","BRTNLPACNOR3","XBSP","Brasil","BRL","1,00"
"TAMM4","TAM SA PREF","0,45","35,70","111.300","3.973.410","-","Constru��o e Transporte","2324496","BRTAMMACNPR2","XBSP","Brasil","BRL","1,00"
"HGTX3","HERING TEXTIL","0,52","32,46","143.100","4.645.026","-","Consumo Cíclico","B010V16","BRHGTXACNOR9","XBSP","Brasil","BRL","1,00"
"PCAR4","COMPANHIA BRASILEIRA DE DISTRIBUIC","1,08","67,00","143.100","9.587.700","-","Consumo Não Cíclico","B5VGS74","BRPCARACNPR0","XBSP","Brasil","BRL","1,00"
"CPFE3","CPFL ENERGIA S.A.","0,46","26,02","159.000","4.137.180","-","Serviços públicos","B031NN3","BRCPFEACNOR0","XBSP","Brasil","BRL","1,00"
"UGPA3","ULTRAPAR PARTICIPOES SA","0,57","32,01","159.000","5.089.590","-","Financeiro e Outros","B0FHTN1","BRUGPAACNOR8","XBSP","Brasil","BRL","1,00"
"CPLE6","CIA PARANAENSE DE ENERGIA COPEL PR","0,69","38,90","159.000","6.185.100","-","Serviços públicos","2200154","BRCPLEACNPB9","XBSP","Brasil","BRL","1,00"
"LREN3","LOJAS RENNER S/A","0,86","48,41","159.000","7.697.190","-","Consumo Cíclico","B0CGYD6","BRLRENACNOR1","XBSP","Brasil","BRL","1,00"
"VIVT4","TELEFONICA BRASIL PREF SA","0,93","51,90","159.000","8.252.100","-","Telecomunica��es","B3ZCNF7","BRVIVTACNPR7","XBSP","Brasil","BRL","1,00"
"USIM3","USINAS SIDERURGICAS DE MINAS GERAI","0,34","17,15","174.900","2.999.535","-","Materiais Básicos","2193696","BRUSIMACNOR3","XBSP","Brasil","BRL","1,00"
